Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
0.00000e+00   0.00000e+00   7.17798e-10   1.05274e-02   6.99587e-09  
0.00000e+00   5.00000e-01   6.31218e-10   7.43226e-03   7.32183e-09  
0.00000e+00   1.00000e+00   5.46400e-10   5.49758e-03   7.36927e-09  
0.00000e+00   1.50000e+00   5.03741e-10   4.20673e-03   7.76667e-09  
0.00000e+00   2.00000e+00   4.60070e-10   3.32584e-03   7.97761e-09  
0.00000e+00   2.50000e+00   4.40010e-10   2.79188e-03   8.32748e-09  
0.00000e+00   3.00000e+00   4.05774e-10   2.34297e-03   8.38303e-09  
0.00000e+00   3.50000e+00   3.78281e-10   1.99333e-03   8.47276e-09  
0.00000e+00   4.00000e+00   3.52885e-10   1.69207e-03   8.57875e-09  
0.00000e+00   4.50000e+00   3.31035e-10   1.45697e-03   8.67256e-09  
0.00000e+00   5.00000e+00   3.06914e-10   1.22067e-03   8.78452e-09  
0.00000e+00   5.50000e+00   2.98093e-10   1.08381e-03   9.05473e-09  
0.00000e+00   6.00000e+00   2.83657e-10   9.48371e-04   9.21095e-09  
0.00000e+00   6.50000e+00   2.72590e-10   8.41762e-04   9.39540e-09  
0.00000e+00   7.00000e+00   2.74513e-10   7.46896e-04   1.00446e-08  
0.00000e+00   7.50000e+00   2.67067e-10   6.77051e-04   1.02638e-08  
0.00000e+00   8.00000e+00   2.43544e-10   6.02028e-04   9.92586e-09  
0.00000e+00   8.50000e+00   2.31158e-10   5.32649e-04   1.00158e-08  
0.00000e+00   9.00000e+00   2.19619e-10   4.75094e-04   1.00758e-08  
0.00000e+00   9.50000e+00   2.03321e-10   4.34039e-04   9.75930e-09  
5.00000e-02   0.00000e+00   5.81381e-10   5.98459e-03   7.51526e-09  
5.00000e-02   5.00000e-01   5.76079e-10   5.74538e-03   7.60016e-09  
5.00000e-02   1.00000e+00   5.33945e-10   4.81311e-03   7.69633e-09  
5.00000e-02   1.50000e+00   4.96313e-10   4.01700e-03   7.83078e-09  
5.00000e-02   2.00000e+00   4.60070e-10   3.31375e-03   7.99216e-09  
5.00000e-02   2.50000e+00   4.40010e-10   2.79188e-03   8.32748e-09  
5.00000e-02   3.00000e+00   4.05774e-10   2.34297e-03   8.38303e-09  
5.00000e-02   3.50000e+00   3.78281e-10   1.99333e-03   8.47276e-09  
5.00000e-02   4.00000e+00   3.52885e-10   1.69207e-03   8.57875e-09  
5.00000e-02   4.50000e+00   3.31035e-10   1.45697e-03   8.67256e-09  
5.00000e-02   5.00000e+00   3.06914e-10   1.22067e-03   8.78452e-09  
5.00000e-02   5.50000e+00   2.98093e-10   1.08381e-03   9.05473e-09  
5.00000e-02   6.00000e+00   2.83657e-10   9.48371e-04   9.21095e-09  
5.00000e-02   6.50000e+00   2.72590e-10   8.41762e-04   9.39540e-09  
5.00000e-02   7.00000e+00   2.74513e-10   7.46896e-04   1.00446e-08  
5.00000e-02   7.50000e+00   2.67067e-10   6.77051e-04   1.02638e-08  
5.00000e-02   8.00000e+00   2.43544e-10   6.02028e-04   9.92586e-09  
