Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
0.00000e+00   0.00000e+00   7.65767e-04   5.50250e-01   1.53318e+00   2.44824e-01   6.18443e-04   1.54764e-03  
0.00000e+00   1.00000e-01   7.56922e-04   5.49010e-01   1.51560e+00   2.42117e-01   6.14836e-04   1.53829e-03  
0.00000e+00   2.00000e-01   7.24125e-04   5.43740e-01   1.44442e+00   2.26124e-01   6.02513e-04   1.52279e-03  
0.00000e+00   3.00000e-01   6.95750e-04   5.39400e-01   1.38078e+00   2.10218e-01   5.92095e-04   1.51746e-03  
0.00000e+00   4.00000e-01   6.67558e-04   5.31030e-01   1.31928e+00   1.96145e-01   5.81195e-04   1.50730e-03  
0.00000e+00   5.00000e-01   6.49133e-04   5.27620e-01   1.27634e+00   1.84206e-01   5.74581e-04   1.51245e-03  
0.00000e+00   6.00000e-01   6.30339e-04   5.23280e-01   1.23406e+00   1.73552e-01   5.67421e-04   1.51307e-03  
0.00000e+00   7.00000e-01   6.12466e-04   5.16460e-01   1.19447e+00   1.64027e-01   5.60396e-04   1.51225e-03  
0.00000e+00   8.00000e-01   5.95883e-04   5.12120e-01   1.15785e+00   1.55308e-01   5.53777e-04   1.51204e-03  
0.00000e+00   9.00000e-01   5.78194e-04   5.06540e-01   1.11990e+00   1.47119e-01   5.46367e-04   1.50744e-03  
0.00000e+00   1.00000e+00   5.63822e-04   5.00650e-01   1.08826e+00   1.39662e-01   5.40475e-04   1.50870e-03  
0.00000e+00   1.10000e+00   5.50372e-04   4.93210e-01   1.05863e+00   1.32665e-01   5.34913e-04   1.51105e-03  
0.00000e+00   1.20000e+00   5.37105e-04   4.87630e-01   1.02997e+00   1.26315e-01   5.29235e-04   1.51123e-03  
0.00000e+00   1.30000e+00   5.26050e-04   4.81430e-01   1.00533e+00   1.20283e-01   5.24653e-04   1.51679e-03  
0.00000e+00   1.40000e+00   5.12968e-04   4.74610e-01   9.77785e-01   1.14745e-01   5.18762e-04   1.51434e-03  
0.00000e+00   1.50000e+00   5.04124e-04   4.69960e-01   9.57513e-01   1.09353e-01   5.15187e-04   1.52448e-03  
0.00000e+00   1.60000e+00   4.94542e-04   4.65000e-01   9.36506e-01   1.04466e-01   5.11032e-04   1.53008e-03  
0.00000e+00   1.70000e+00   4.81829e-04   4.57250e-01   9.10690e-01   1.00040e-01   5.04902e-04   1.52337e-03  
0.00000e+00   1.80000e+00   4.73721e-04   4.52910e-01   8.92627e-01   9.56167e-02   5.01404e-04   1.53199e-03  
0.00000e+00   1.90000e+00   4.65246e-04   4.47640e-01   8.74322e-01   9.15719e-02   4.97561e-04   1.53745e-03  
0.00000e+00   2.00000e+00   4.58060e-04   4.43920e-01   8.58403e-01   8.77429e-02   4.94398e-04   1.54638e-03  
0.00000e+00   2.10000e+00   4.49215e-04   4.39580e-01   8.40067e-01   8.42871e-02   4.90115e-04   1.54730e-03  
0.00000e+00   2.20000e+00   4.41661e-04   4.36790e-01   8.24079e-01   8.10089e-02   4.86524e-04   1.55175e-03  
0.00000e+00   2.30000e+00   4.35949e-04   4.33380e-01   8.11468e-01   7.80076e-02   4.83950e-04   1.56087e-03  
0.00000e+00   2.40000e+00   4.29684e-04   4.29660e-01   7.98148e-01   7.52282e-02   4.80959e-04   1.56660e-03  
0.00000e+00   2.50000e+00   4.21946e-04   4.25630e-01   7.82512e-01   7.26123e-02   4.76992e-04   1.56585e-03  
0.00000e+00   2.60000e+00   4.16971e-04   4.22530e-01   7.71713e-01   7.01832e-02   4.74654e-04   1.57394e-03  
0.00000e+00   2.70000e+00   4.12180e-04   4.20050e-01   7.61262e-01   6.77919e-02   4.72411e-04   1.58306e-03  
0.00000e+00   2.80000e+00   4.06837e-04   4.16640e-01   7.50105e-01   6.56250e-02   4.69742e-04   1.58813e-03  
