Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
3.00000e-01   4.50000e+00   3.10739e-10   2.41234e-03   6.32668e-09  
3.00000e-01   5.00000e+00   3.05339e-10   2.30755e-03   6.35634e-09  
3.00000e-01   5.50000e+00   3.03314e-10   2.18328e-03   6.49140e-09  
3.00000e-01   6.00000e+00   3.02652e-10   2.05886e-03   6.67008e-09  
3.00000e-01   6.50000e+00   2.95016e-10   1.91554e-03   6.74061e-09  
3.00000e-01   7.00000e+00   2.99340e-10   1.79674e-03   7.06191e-09  
3.00000e-01   7.50000e+00   2.91988e-10   1.67384e-03   7.13687e-09  
3.00000e-01   8.00000e+00   2.78386e-10   1.54918e-03   7.07287e-09  
3.00000e-01   8.50000e+00   2.70121e-10   1.43792e-03   7.12347e-09  
3.00000e-01   9.00000e+00   2.65464e-10   1.31993e-03   7.30686e-09  
3.00000e-01   9.50000e+00   2.51479e-10   1.22319e-03   7.19044e-09  
3.50000e-01   0.00000e+00   2.70287e-10   2.07180e-03   5.93815e-09  
3.50000e-01   5.00000e-01   2.70287e-10   2.07180e-03   5.93815e-09  
3.50000e-01   1.00000e+00   2.70287e-10   2.07180e-03   5.93815e-09  
3.50000e-01   1.50000e+00   2.70287e-10   2.07180e-03   5.93815e-09  
3.50000e-01   2.00000e+00   2.70287e-10   2.07180e-03   5.93815e-09  
3.50000e-01   2.50000e+00   2.70534e-10   2.07180e-03   5.94359e-09  
3.50000e-01   3.00000e+00   2.71529e-10   2.05100e-03   5.99561e-09  
3.50000e-01   3.50000e+00   2.73287e-10   2.01347e-03   6.09042e-09  
3.50000e-01   4.00000e+00   2.75839e-10   1.94891e-03   6.24826e-09  
3.50000e-01   4.50000e+00   2.76213e-10   1.90833e-03   6.32290e-09  
3.50000e-01   5.00000e+00   2.72287e-10   1.83831e-03   6.35063e-09  
3.50000e-01   5.50000e+00   2.69403e-10   1.75915e-03   6.42318e-09  
3.50000e-01   6.00000e+00   2.67331e-10   1.67830e-03   6.52551e-09  
3.50000e-01   6.50000e+00   2.61435e-10   1.58722e-03   6.56214e-09  
3.50000e-01   7.00000e+00   2.64011e-10   1.50964e-03   6.79493e-09  
3.50000e-01   7.50000e+00   2.60805e-10   1.42656e-03   6.90512e-09  
3.50000e-01   8.00000e+00   2.50011e-10   1.34418e-03   6.81915e-09  
3.50000e-01   8.50000e+00   2.47302e-10   1.26837e-03   6.94393e-09  
3.50000e-01   9.00000e+00   2.43081e-10   1.19472e-03   7.03264e-09  
3.50000e-01   9.50000e+00   2.35466e-10   1.11926e-03   7.03822e-09  
4.00000e-01   0.00000e+00   2.55566e-10   1.56094e-03   6.46859e-09  
4.00000e-01   5.00000e-01   2.55566e-10   1.56094e-03   6.46859e-09  
4.00000e-01   1.00000e+00   2.55566e-10   1.56094e-03   6.46859e-09  
4.00000e-01   1.50000e+00   2.55566e-10   1.56094e-03   6.46859e-09  
4.00000e-01   2.00000e+00   2.55566e-10   1.56094e-03   6.46859e-09  
4.00000e-01   2.50000e+00   2.55818e-10   1.56094e-03   6.47498e-09  
4.00000e-01   3.00000e+00   2.56835e-10   1.56094e-03   6.50070e-09  
4.00000e-01   3.50000e+00   2.57859e-10   1.55683e-03   6.53525e-09  
4.00000e-01   4.00000e+00   2.60194e-10   1.52542e-03   6.66196e-09  
4.00000e-01   4.50000e+00   2.63373e-10   1.49847e-03   6.80374e-09  
4.00000e-01   5.00000e+00   2.59143e-10   1.46551e-03   6.76930e-09  
4.00000e-01   5.50000e+00   2.57947e-10   1.40667e-03   6.87756e-09  
4.00000e-01   6.00000e+00   2.55174e-10   1.35898e-03   6.92199e-09  
4.00000e-01   6.50000e+00   2.50339e-10   1.30342e-03   6.93403e-09  
4.00000e-01   7.00000e+00   2.53316e-10   1.25291e-03   7.15654e-09  
4.00000e-01   7.50000e+00   2.51617e-10   1.19574e-03   7.27648e-09  
4.00000e-01   8.00000e+00   2.44256e-10   1.14686e-03   7.21257e-09  
4.00000e-01   8.50000e+00   2.39958e-10   1.09879e-03   7.23900e-09  
4.00000e-01   9.00000e+00   2.35135e-10   1.04591e-03   7.27060e-09  
4.00000e-01   9.50000e+00   2.28623e-10   9.86229e-04   7.27999e-09  
4.50000e-01   0.00000e+00   2.42516e-10   1.20366e-03   6.99017e-09  
4.50000e-01   5.00000e-01   2.42516e-10   1.20366e-03   6.99017e-09  
4.50000e-01   1.00000e+00   2.42516e-10   1.20366e-03   6.99017e-09  
4.50000e-01   1.50000e+00   2.42516e-10   1.20366e-03   6.99017e-09  
4.50000e-01   2.00000e+00   2.42516e-10   1.20366e-03   6.99017e-09  
4.50000e-01   2.50000e+00   2.42775e-10   1.20366e-03   6.99765e-09  
4.50000e-01   3.00000e+00   2.43296e-10   1.20366e-03   7.01265e-09  
4.50000e-01   3.50000e+00   2.43818e-10   1.20366e-03   7.02771e-09  
4.50000e-01   4.00000e+00   2.45135e-10   1.20193e-03   7.07075e-09  
4.50000e-01   4.50000e+00   2.47541e-10   1.18916e-03   7.17838e-09  
4.50000e-01   5.00000e+00   2.49445e-10   1.17206e-03   7.28618e-09  
4.50000e-01   5.50000e+00   2.49198e-10   1.12875e-03   7.41731e-09  
4.50000e-01   6.00000e+00   2.45355e-10   1.09233e-03   7.42366e-09  
4.50000e-01   6.50000e+00   2.44678e-10   1.05323e-03   7.53936e-09  
4.50000e-01   7.00000e+00   2.47765e-10   1.01882e-03   7.76233e-09  
4.50000e-01   7.50000e+00   2.45007e-10   9.84458e-04   7.80872e-09  
4.50000e-01   8.00000e+00   2.36243e-10   9.51528e-04   7.65858e-09  
4.50000e-01   8.50000e+00   2.34804e-10   9.20703e-04   7.73831e-09  
4.50000e-01   9.00000e+00   2.29105e-10   8.80918e-04   7.71909e-09  
4.50000e-01   9.50000e+00   2.22300e-10   8.41609e-04   7.66276e-09  
5.00000e-01   0.00000e+00   2.34166e-10   9.21004e-04   7.71603e-09  
5.00000e-01   5.00000e-01   2.34166e-10   9.21004e-04   7.71603e-09  
5.00000e-01   1.00000e+00   2.34166e-10   9.21004e-04   7.71603e-09  
5.00000e-01   1.50000e+00   2.34166e-10   9.21004e-04   7.71603e-09  
5.00000e-01   2.00000e+00   2.34166e-10   9.21004e-04   7.71603e-09  
5.00000e-01   2.50000e+00   2.34166e-10   9.21004e-04   7.71603e-09  
5.00000e-01   3.00000e+00   2.34441e-10   9.21004e-04   7.72506e-09  
5.00000e-01   3.50000e+00   2.34441e-10   9.21004e-04   7.72506e-09  
5.00000e-01   4.00000e+00   2.35544e-10   9.21004e-04   7.76142e-09  
5.00000e-01   4.50000e+00   2.36938e-10   9.19273e-04   7.81469e-09  
5.00000e-01   5.00000e+00   2.38065e-10   9.17542e-04   7.85926e-09  
5.00000e-01   5.50000e+00   2.36987e-10   8.98049e-04   7.90815e-09  
5.00000e-01   6.00000e+00   2.38128e-10   8.71807e-04   8.06492e-09  
5.00000e-01   6.50000e+00   2.38098e-10   8.48548e-04   8.17369e-09  
5.00000e-01   7.00000e+00   2.40433e-10   8.16734e-04   8.41304e-09  
5.00000e-01   7.50000e+00   2.37100e-10   7.92047e-04   8.42473e-09  
5.00000e-01   8.00000e+00   2.27689e-10   7.64798e-04   8.23322e-09  
5.00000e-01   8.50000e+00   2.27123e-10   7.46292e-04   8.31394e-09  
5.00000e-01   9.00000e+00   2.20573e-10   7.26425e-04   8.18384e-09  
5.00000e-01   9.50000e+00   2.14860e-10   7.03645e-04   8.09990e-09  
5.50000e-01   0.00000e+00   2.15166e-10   7.28326e-04   7.97279e-09  
5.50000e-01   5.00000e-01   2.15166e-10   7.28326e-04   7.97279e-09  
5.50000e-01   1.00000e+00   2.15166e-10   7.28326e-04   7.97279e-09  
5.50000e-01   1.50000e+00   2.15166e-10   7.28326e-04   7.97279e-09  
5.50000e-01   2.00000e+00   2.15166e-10   7.28326e-04   7.97279e-09  
5.50000e-01   2.50000e+00   2.15166e-10   7.28326e-04   7.97279e-09  
5.50000e-01   3.00000e+00   2.15436e-10   7.28326e-04   7.98278e-09  
5.50000e-01   3.50000e+00   2.15436e-10   7.28326e-04   7.98278e-09  
5.50000e-01   4.00000e+00   2.15977e-10   7.28326e-04   8.00284e-09  
5.50000e-01   4.50000e+00   2.17068e-10   7.28326e-04   8.04326e-09  
5.50000e-01   5.00000e+00   2.17893e-10   7.26595e-04   8.08345e-09  
5.50000e-01   5.50000e+00   2.19283e-10   7.16635e-04   8.19134e-09  
5.50000e-01   6.00000e+00   2.19843e-10   7.01909e-04   8.29799e-09  
5.50000e-01   6.50000e+00   2.21543e-10   6.83068e-04   8.47669e-09  
5.50000e-01   7.00000e+00   2.23270e-10   6.64546e-04   8.66098e-09  
5.50000e-01   7.50000e+00   2.19397e-10   6.44139e-04   8.64454e-09  
5.50000e-01   8.00000e+00   2.08967e-10   6.19358e-04   8.39667e-09  
5.50000e-01   8.50000e+00   2.08383e-10   6.02438e-04   8.48997e-09  
5.50000e-01   9.00000e+00   2.03001e-10   5.91172e-04   8.34915e-09  
5.50000e-01   9.50000e+00   1.98760e-10   5.75063e-04   8.28841e-09  
6.00000e-01   0.00000e+00   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   5.00000e-01   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   1.00000e+00   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   1.50000e+00   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   2.00000e+00   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   2.50000e+00   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   3.00000e+00   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   3.50000e+00   1.99248e-10   5.61957e-04   8.40509e-09  
6.00000e-01   4.00000e+00   1.99518e-10   5.61957e-04   8.41648e-09  
6.00000e-01   4.50000e+00   2.00332e-10   5.61957e-04   8.45083e-09  
6.00000e-01   5.00000e+00   2.00332e-10   5.61957e-04   8.45083e-09  
6.00000e-01   5.50000e+00   2.01153e-10   5.61957e-04   8.48546e-09  
6.00000e-01   6.00000e+00   2.01428e-10   5.57842e-04   8.52835e-09  
6.00000e-01   6.50000e+00   2.02537e-10   5.47230e-04   8.65802e-09  
6.00000e-01   7.00000e+00   2.03939e-10   5.44847e-04   8.73702e-09  
6.00000e-01   7.50000e+00   1.99811e-10   5.30666e-04   8.67379e-09  
6.00000e-01   8.00000e+00   1.97864e-10   5.11819e-04   8.74597e-09  
6.00000e-01   8.50000e+00   1.97009e-10   5.00539e-04   8.80574e-09  
6.00000e-01   9.00000e+00   1.91071e-10   4.90572e-04   8.62666e-09  
6.00000e-01   9.50000e+00   1.86561e-10   4.77424e-04   8.53823e-09  
6.50000e-01   0.00000e+00   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   5.00000e-01   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   1.00000e+00   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   1.50000e+00   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   2.00000e+00   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   2.50000e+00   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   3.00000e+00   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   3.50000e+00   1.77676e-10   4.57862e-04   8.30352e-09  
6.50000e-01   4.00000e+00   1.77938e-10   4.57862e-04   8.31575e-09  
6.50000e-01   4.50000e+00   1.78200e-10   4.57862e-04   8.32801e-09  
6.50000e-01   5.00000e+00   1.78200e-10   4.57862e-04   8.32801e-09  
6.50000e-01   5.50000e+00   1.78464e-10   4.57862e-04   8.34031e-09  
6.50000e-01   6.00000e+00   1.78464e-10   4.57862e-04   8.34031e-09  
6.50000e-01   6.50000e+00   1.79524e-10   4.54399e-04   8.42179e-09  
6.50000e-01   7.00000e+00   1.80598e-10   4.52016e-04   8.49445e-09  
6.50000e-01   7.50000e+00   1.78782e-10   4.46171e-04   8.46395e-09  
6.50000e-01   8.00000e+00   1.76950e-10   4.28910e-04   8.54412e-09  
6.50000e-01   8.50000e+00   1.78295e-10   4.21245e-04   8.68702e-09  
6.50000e-01   9.00000e+00   1.73487e-10   4.13661e-04   8.52993e-09  
6.50000e-01   9.50000e+00   1.68699e-10   4.01680e-04   8.41730e-09  
7.00000e-01   0.00000e+00   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   5.00000e-01   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   1.00000e+00   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   1.50000e+00   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   2.00000e+00   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   2.50000e+00   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   3.00000e+00   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   3.50000e+00   1.72973e-10   3.75730e-04   8.92361e-09  
7.00000e-01   4.00000e+00   1.73247e-10   3.75730e-04   8.93775e-09  
7.00000e-01   4.50000e+00   1.73522e-10   3.75730e-04   8.95193e-09  
7.00000e-01   5.00000e+00   1.73522e-10   3.75730e-04   8.95193e-09  
7.00000e-01   5.50000e+00   1.73522e-10   3.75730e-04   8.95193e-09  
7.00000e-01   6.00000e+00   1.73522e-10   3.75730e-04   8.95193e-09  
7.00000e-01   6.50000e+00   1.74352e-10   3.75730e-04   8.99477e-09  
7.00000e-01   7.00000e+00   1.74631e-10   3.75730e-04   9.00913e-09  
7.00000e-01   7.50000e+00   1.72853e-10   3.72267e-04   8.95878e-09  
7.00000e-01   8.00000e+00   1.70507e-10   3.62734e-04   8.95259e-09  
7.00000e-01   8.50000e+00   1.71611e-10   3.58620e-04   9.06208e-09  
7.00000e-01   9.00000e+00   1.65924e-10   3.54650e-04   8.81065e-09  
7.00000e-01   9.50000e+00   1.61084e-10   3.47286e-04   8.64389e-09  
7.50000e-01   0.00000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   5.00000e-01   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   1.00000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   1.50000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   2.00000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   2.50000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   3.00000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   3.50000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   4.00000e+00   1.54063e-10   2.89126e-04   9.06057e-09  
7.50000e-01   4.50000e+00   1.54328e-10   2.89126e-04   9.07614e-09  
7.50000e-01   5.00000e+00   1.54328e-10   2.89126e-04   9.07614e-09  
7.50000e-01   5.50000e+00   1.54328e-10   2.89126e-04   9.07614e-09  
7.50000e-01   6.00000e+00   1.54328e-10   2.89126e-04   9.07614e-09  
7.50000e-01   6.50000e+00   1.54860e-10   2.89126e-04   9.10744e-09  
7.50000e-01   7.00000e+00   1.54860e-10   2.89126e-04   9.10744e-09  
7.50000e-01   7.50000e+00   1.52849e-10   2.87395e-04   9.01617e-09  
7.50000e-01   8.00000e+00   1.50562e-10   2.87395e-04   8.88126e-09  
7.50000e-01   8.50000e+00   1.51349e-10   2.85664e-04   8.95469e-09  
7.50000e-01   9.00000e+00   1.47286e-10   2.83281e-04   8.75090e-09  
7.50000e-01   9.50000e+00   1.46549e-10   2.81550e-04   8.73386e-09  
Candidate type    Total entries    After A' mass cut   After transverse flight distance cut     After eta mass cut     Signal significance after mu + A' _fiducial cut: 
S    			   686573    			2210   			330 				2210				3.218886e-03
EMB    			   694228    			130    			130 				130				1.872584e-04
B    			   77655699    			20489    			20489 				170				2.638441e-04
misID    		   -1269674758    			32094008    			5885851 				54742				-2.527735e-02
Figure of merit after mu + A' + fiducial cut:  3.035024e-11 
