Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
0.00000e+00   0.00000e+00   6.92015e-10   4.03745e-02   3.44399e-09  
0.00000e+00   5.00000e-01   6.01436e-10   2.90555e-02   3.52838e-09  
0.00000e+00   1.00000e+00   5.40075e-10   2.12626e-02   3.70378e-09  
0.00000e+00   1.50000e+00   4.79634e-10   1.59294e-02   3.80024e-09  
0.00000e+00   2.00000e+00   4.27304e-10   1.26238e-02   3.80314e-09  
0.00000e+00   2.50000e+00   4.07608e-10   1.03607e-02   4.00450e-09  
0.00000e+00   3.00000e+00   3.96278e-10   8.66764e-03   4.25647e-09  
0.00000e+00   3.50000e+00   3.76583e-10   7.31730e-03   4.40236e-09  
0.00000e+00   4.00000e+00   3.57067e-10   6.19908e-03   4.53510e-09  
0.00000e+00   4.50000e+00   3.53632e-10   5.34357e-03   4.83767e-09  
0.00000e+00   5.00000e+00   3.38529e-10   4.58284e-03   5.00067e-09  
0.00000e+00   5.50000e+00   3.32000e-10   3.92144e-03   5.30170e-09  
0.00000e+00   6.00000e+00   3.31144e-10   3.36549e-03   5.70811e-09  
0.00000e+00   6.50000e+00   3.20532e-10   2.90494e-03   5.94706e-09  
0.00000e+00   7.00000e+00   3.16835e-10   2.50675e-03   6.32817e-09  
0.00000e+00   7.50000e+00   3.10528e-10   2.20297e-03   6.61603e-09  
0.00000e+00   8.00000e+00   2.95221e-10   1.92274e-03   6.73266e-09  
0.00000e+00   8.50000e+00   2.84664e-10   1.70235e-03   6.89936e-09  
0.00000e+00   9.00000e+00   2.79164e-10   1.50230e-03   7.20246e-09  
0.00000e+00   9.50000e+00   2.62069e-10   1.34378e-03   7.14912e-09  
5.00000e-02   0.00000e+00   5.55274e-10   2.58407e-02   3.45426e-09  
5.00000e-02   5.00000e-01   5.47714e-10   2.33507e-02   3.58430e-09  
5.00000e-02   1.00000e+00   5.10866e-10   1.88676e-02   3.71920e-09  
5.00000e-02   1.50000e+00   4.70213e-10   1.53312e-02   3.79758e-09  
5.00000e-02   2.00000e+00   4.27304e-10   1.25825e-02   3.80938e-09  
5.00000e-02   2.50000e+00   4.07608e-10   1.03607e-02   4.00450e-09  
5.00000e-02   3.00000e+00   3.96278e-10   8.66764e-03   4.25647e-09  
5.00000e-02   3.50000e+00   3.76583e-10   7.31730e-03   4.40236e-09  
5.00000e-02   4.00000e+00   3.57067e-10   6.19908e-03   4.53510e-09  
5.00000e-02   4.50000e+00   3.53632e-10   5.34357e-03   4.83767e-09  
5.00000e-02   5.00000e+00   3.38529e-10   4.58284e-03   5.00067e-09  
5.00000e-02   5.50000e+00   3.32000e-10   3.92144e-03   5.30170e-09  
5.00000e-02   6.00000e+00   3.31144e-10   3.36549e-03   5.70811e-09  
5.00000e-02   6.50000e+00   3.20532e-10   2.90494e-03   5.94706e-09  
5.00000e-02   7.00000e+00   3.16835e-10   2.50675e-03   6.32817e-09  
5.00000e-02   7.50000e+00   3.10528e-10   2.20297e-03   6.61603e-09  
5.00000e-02   8.00000e+00   2.95221e-10   1.92274e-03   6.73266e-09  
5.00000e-02   8.50000e+00   2.84664e-10   1.70235e-03   6.89936e-09  
5.00000e-02   9.00000e+00   2.79164e-10   1.50230e-03   7.20246e-09  
5.00000e-02   9.50000e+00   2.62069e-10   1.34378e-03   7.14912e-09  
1.00000e-01   0.00000e+00   4.50137e-10   1.41935e-02   3.77833e-09  
1.00000e-01   5.00000e-01   4.50137e-10   1.41839e-02   3.77960e-09  
1.00000e-01   1.00000e+00   4.44591e-10   1.31385e-02   3.87871e-09  
1.00000e-01   1.50000e+00   4.21936e-10   1.17005e-02   3.90072e-09  
1.00000e-01   2.00000e+00   4.04412e-10   1.03472e-02   3.97569e-09  
1.00000e-01   2.50000e+00   3.89909e-10   9.13675e-03   4.07913e-09  
1.00000e-01   3.00000e+00   3.80910e-10   8.09882e-03   4.23264e-09  
1.00000e-01   3.50000e+00   3.73984e-10   7.09253e-03   4.44071e-09  
1.00000e-01   4.00000e+00   3.55534e-10   6.15133e-03   4.53311e-09  
1.00000e-01   4.50000e+00   3.53632e-10   5.34357e-03   4.83767e-09  
1.00000e-01   5.00000e+00   3.38529e-10   4.58284e-03   5.00067e-09  
1.00000e-01   5.50000e+00   3.32000e-10   3.92144e-03   5.30170e-09  
1.00000e-01   6.00000e+00   3.31144e-10   3.36549e-03   5.70811e-09  
1.00000e-01   6.50000e+00   3.20532e-10   2.90494e-03   5.94706e-09  
1.00000e-01   7.00000e+00   3.16835e-10   2.50675e-03   6.32817e-09  
1.00000e-01   7.50000e+00   3.10528e-10   2.20297e-03   6.61603e-09  
1.00000e-01   8.00000e+00   2.95221e-10   1.92274e-03   6.73266e-09  
1.00000e-01   8.50000e+00   2.84664e-10   1.70235e-03   6.89936e-09  
1.00000e-01   9.00000e+00   2.79164e-10   1.50230e-03   7.20246e-09  
1.00000e-01   9.50000e+00   2.62069e-10   1.34378e-03   7.14912e-09  
1.50000e-01   0.00000e+00   4.07932e-10   8.82050e-03   4.34352e-09  
1.50000e-01   5.00000e-01   4.07932e-10   8.82050e-03   4.34352e-09  
1.50000e-01   1.00000e+00   4.06363e-10   8.74837e-03   4.34461e-09  
1.50000e-01   1.50000e+00   3.95916e-10   8.29412e-03   4.34728e-09  
1.50000e-01   2.00000e+00   3.89464e-10   7.74816e-03   4.42454e-09  
1.50000e-01   2.50000e+00   3.78032e-10   7.07582e-03   4.49407e-09  
1.50000e-01   3.00000e+00   3.66810e-10   6.46385e-03   4.56243e-09  
1.50000e-01   3.50000e+00   3.64118e-10   5.84062e-03   4.76445e-09  
1.50000e-01   4.00000e+00   3.52953e-10   5.25764e-03   4.86767e-09  
1.50000e-01   4.50000e+00   3.48978e-10   4.75499e-03   5.06085e-09  
1.50000e-01   5.00000e+00   3.38090e-10   4.28190e-03   5.16672e-09  
1.50000e-01   5.50000e+00   3.32593e-10   3.80044e-03   5.39505e-09  
1.50000e-01   6.00000e+00   3.31994e-10   3.32385e-03   5.75851e-09  
1.50000e-01   6.50000e+00   3.20532e-10   2.89676e-03   5.95545e-09  
1.50000e-01   7.00000e+00   3.16835e-10   2.50675e-03   6.32817e-09  
1.50000e-01   7.50000e+00   3.10528e-10   2.20297e-03   6.61603e-09  
1.50000e-01   8.00000e+00   2.95221e-10   1.92274e-03   6.73266e-09  
1.50000e-01   8.50000e+00   2.84664e-10   1.70235e-03   6.89936e-09  
1.50000e-01   9.00000e+00   2.79164e-10   1.50230e-03   7.20246e-09  
1.50000e-01   9.50000e+00   2.62069e-10   1.34378e-03   7.14912e-09  
2.00000e-01   0.00000e+00   3.46046e-10   5.87105e-03   4.51623e-09  
2.00000e-01   5.00000e-01   3.46046e-10   5.87105e-03   4.51623e-09  
2.00000e-01   1.00000e+00   3.46046e-10   5.87105e-03   4.51623e-09  
2.00000e-01   1.50000e+00   3.47540e-10   5.83379e-03   4.55018e-09  
2.00000e-01   2.00000e+00   3.49046e-10   5.59261e-03   4.66741e-09  
2.00000e-01   2.50000e+00   3.48815e-10   5.27958e-03   4.80060e-09  
2.00000e-01   3.00000e+00   3.48028e-10   4.97425e-03   4.93458e-09  
2.00000e-01   3.50000e+00   3.48062e-10   4.61291e-03   5.12471e-09  
2.00000e-01   4.00000e+00   3.37972e-10   4.24640e-03   5.18645e-09  
2.00000e-01   4.50000e+00   3.39700e-10   3.91681e-03   5.42786e-09  
2.00000e-01   5.00000e+00   3.33528e-10   3.60274e-03   5.55668e-09  
2.00000e-01   5.50000e+00   3.28766e-10   3.29290e-03   5.72925e-09  
2.00000e-01   6.00000e+00   3.29194e-10   2.96826e-03   6.04228e-09  
2.00000e-01   6.50000e+00   3.19521e-10   2.67603e-03   6.17666e-09  
2.00000e-01   7.00000e+00   3.17191e-10   2.40212e-03   6.47178e-09  
2.00000e-01   7.50000e+00   3.11123e-10   2.15083e-03   6.70856e-09  
2.00000e-01   8.00000e+00   2.95513e-10   1.90593e-03   6.76897e-09  
2.00000e-01   8.50000e+00   2.84664e-10   1.69633e-03   6.91158e-09  
2.00000e-01   9.00000e+00   2.79164e-10   1.50230e-03   7.20246e-09  
2.00000e-01   9.50000e+00   2.62069e-10   1.34378e-03   7.14912e-09  
2.50000e-01   0.00000e+00   3.29951e-10   3.98432e-03   5.22724e-09  
2.50000e-01   5.00000e-01   3.29951e-10   3.98432e-03   5.22724e-09  
2.50000e-01   1.00000e+00   3.29951e-10   3.98432e-03   5.22724e-09  
2.50000e-01   1.50000e+00   3.30208e-10   3.98432e-03   5.23131e-09  
2.50000e-01   2.00000e+00   3.31242e-10   3.96310e-03   5.26172e-09  
2.50000e-01   2.50000e+00   3.30745e-10   3.83706e-03   5.33942e-09  
2.50000e-01   3.00000e+00   3.29191e-10   3.68401e-03   5.42359e-09  
2.50000e-01   3.50000e+00   3.29966e-10   3.50650e-03   5.57227e-09  
2.50000e-01   4.00000e+00   3.25909e-10   3.30827e-03   5.66625e-09  
2.50000e-01   4.50000e+00   3.26583e-10   3.14017e-03   5.82797e-09  
2.50000e-01   5.00000e+00   3.20087e-10   2.93846e-03   5.90485e-09  
2.50000e-01   5.50000e+00   3.17184e-10   2.71890e-03   6.08296e-09  
2.50000e-01   6.00000e+00   3.17975e-10   2.49892e-03   6.36088e-09  
2.50000e-01   6.50000e+00   3.09174e-10   2.29286e-03   6.45675e-09  
2.50000e-01   7.00000e+00   3.10407e-10   2.12410e-03   6.73509e-09  
2.50000e-01   7.50000e+00   3.03248e-10   1.95251e-03   6.86280e-09  
2.50000e-01   8.00000e+00   2.86625e-10   1.76822e-03   6.81627e-09  
2.50000e-01   8.50000e+00   2.74305e-10   1.60512e-03   6.84667e-09  
2.50000e-01   9.00000e+00   2.70924e-10   1.44520e-03   7.12661e-09  
2.50000e-01   9.50000e+00   2.54746e-10   1.31244e-03   7.03182e-09  
3.00000e-01   0.00000e+00   3.02346e-10   2.79348e-03   5.72047e-09  
3.00000e-01   5.00000e-01   3.02346e-10   2.79348e-03   5.72047e-09  
3.00000e-01   1.00000e+00   3.02346e-10   2.79348e-03   5.72047e-09  
3.00000e-01   1.50000e+00   3.02346e-10   2.79348e-03   5.72047e-09  
3.00000e-01   2.00000e+00   3.02603e-10   2.79348e-03   5.72532e-09  
3.00000e-01   2.50000e+00   3.02860e-10   2.78591e-03   5.73797e-09  
3.00000e-01   3.00000e+00   3.04931e-10   2.71566e-03   5.85144e-09  
3.00000e-01   3.50000e+00   3.07825e-10   2.61116e-03   6.02402e-09  
3.00000e-01   4.00000e+00   3.09407e-10   2.49331e-03   6.19643e-09  
