Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
1.50000e-01   7.50000e+00   8.82384e-10   4.63939e-03   1.29547e-08  
1.50000e-01   8.00000e+00   7.72184e-10   4.08997e-03   1.20743e-08  
1.50000e-01   8.50000e+00   6.69453e-10   3.62710e-03   1.11158e-08  
1.50000e-01   9.00000e+00   6.67800e-10   3.21023e-03   1.17863e-08  
1.50000e-01   9.50000e+00   6.73997e-10   2.85579e-03   1.26123e-08  
2.00000e-01   0.00000e+00   1.12083e-09   1.16639e-02   1.03781e-08  
2.00000e-01   5.00000e-01   1.12083e-09   1.16639e-02   1.03781e-08  
2.00000e-01   1.00000e+00   1.12083e-09   1.16639e-02   1.03781e-08  
2.00000e-01   1.50000e+00   1.12159e-09   1.16210e-02   1.04043e-08  
2.00000e-01   2.00000e+00   1.12615e-09   1.13034e-02   1.05923e-08  
2.00000e-01   2.50000e+00   1.11921e-09   1.07707e-02   1.07842e-08  
2.00000e-01   3.00000e+00   1.00379e-09   1.00540e-02   1.00109e-08  
2.00000e-01   3.50000e+00   9.27288e-10   9.29623e-03   9.61748e-09  
2.00000e-01   4.00000e+00   9.39647e-10   8.55701e-03   1.01579e-08  
2.00000e-01   4.50000e+00   9.55650e-10   7.85411e-03   1.07833e-08  
2.00000e-01   5.00000e+00   9.68951e-10   7.17081e-03   1.14424e-08  
2.00000e-01   5.50000e+00   9.46498e-10   6.56449e-03   1.16821e-08  
2.00000e-01   6.00000e+00   9.56338e-10   5.98629e-03   1.23604e-08  
2.00000e-01   6.50000e+00   9.36205e-10   5.41223e-03   1.27257e-08  
2.00000e-01   7.00000e+00   9.47203e-10   4.93685e-03   1.34809e-08  
2.00000e-01   7.50000e+00   8.84835e-10   4.49317e-03   1.32004e-08  
2.00000e-01   8.00000e+00   7.72926e-10   4.03745e-03   1.21642e-08  
2.00000e-01   8.50000e+00   6.69453e-10   3.60934e-03   1.11431e-08  
2.00000e-01   9.00000e+00   6.67800e-10   3.21023e-03   1.17863e-08  
2.00000e-01   9.50000e+00   6.73997e-10   2.85579e-03   1.26123e-08  
2.50000e-01   0.00000e+00   1.16840e-09   7.96895e-03   1.30886e-08  
2.50000e-01   5.00000e-01   1.16840e-09   7.96895e-03   1.30886e-08  
2.50000e-01   1.00000e+00   1.16840e-09   7.96895e-03   1.30886e-08  
2.50000e-01   1.50000e+00   1.16840e-09   7.96895e-03   1.30886e-08  
2.50000e-01   2.00000e+00   1.17099e-09   7.93302e-03   1.31472e-08  
2.50000e-01   2.50000e+00   1.17620e-09   7.75989e-03   1.33522e-08  
2.50000e-01   3.00000e+00   1.06680e-09   7.50304e-03   1.23158e-08  
2.50000e-01   3.50000e+00   9.76256e-10   7.15913e-03   1.15381e-08  
2.50000e-01   4.00000e+00   9.79466e-10   6.75258e-03   1.19194e-08  
2.50000e-01   4.50000e+00   9.84368e-10   6.31364e-03   1.23885e-08  
2.50000e-01   5.00000e+00   9.91096e-10   5.85938e-03   1.29476e-08  
2.50000e-01   5.50000e+00   9.61108e-10   5.43270e-03   1.30396e-08  
2.50000e-01   6.00000e+00   9.79841e-10   5.04653e-03   1.37930e-08  
2.50000e-01   6.50000e+00   9.59159e-10   4.66209e-03   1.40475e-08  
2.50000e-01   7.00000e+00   9.67664e-10   4.33677e-03   1.46940e-08  
2.50000e-01   7.50000e+00   9.00681e-10   4.04041e-03   1.41696e-08  
2.50000e-01   8.00000e+00   7.82700e-10   3.67600e-03   1.29095e-08  
2.50000e-01   8.50000e+00   6.75472e-10   3.33860e-03   1.16903e-08  
2.50000e-01   9.00000e+00   6.71948e-10   3.02495e-03   1.22173e-08  
2.50000e-01   9.50000e+00   6.77590e-10   2.74598e-03   1.29306e-08  
3.00000e-01   0.00000e+00   1.25960e-09   5.59884e-03   1.68338e-08  
3.00000e-01   5.00000e-01   1.25960e-09   5.59884e-03   1.68338e-08  
3.00000e-01   1.00000e+00   1.25960e-09   5.59884e-03   1.68338e-08  
3.00000e-01   1.50000e+00   1.25960e-09   5.59884e-03   1.68338e-08  
