0.36	0.12018	0.01033	-0.01033
0.37	0.14244	0.00869	-0.00869
0.38	0.1699	0.01587	-0.01587
0.39	0.15662	0.00982	-0.00982
0.4	0.17795	0.01938	-0.01938
0.41	0.21191	0.00986	-0.00986
0.42	0.21045	0.03065	-0.03065
0.43	0.26582	0.01031	-0.01031
0.438	0.31445	0.02302	-0.02302
0.44	0.27114	0.03369	-0.03369
0.45	0.31856	0.01515	-0.01515
0.46	0.29863	0.04406	-0.04406
0.47	0.36269	0.01324	-0.01324
0.48	0.41626	0.01818	-0.01818
0.483	0.42434	0.06273	-0.06273
0.5	0.47917	0.02297	-0.02297
0.51	0.53818	0.02882	-0.02882
0.52	0.53441	0.02165	-0.02165
0.53	0.6477	0.07338	-0.07338
0.54	0.71278	0.03332	-0.03332
0.55	0.76157	0.06183	-0.06183
0.56	0.82466	0.04633	-0.04633
0.58	0.9847	0.04355	-0.04355
0.59938	1.26713	0.03467	-0.03467
0.6	1.27602	0.03589	-0.03589
0.6024	1.4343	0.13342	-0.13342
0.6105	1.44391	0.20193	-0.20193
0.6125	1.46919	0.16056	-0.16056
0.62	1.56426	0.0905	-0.0905
0.6205	1.78021	0.13347	-0.13347
0.62951	1.8362	0.03145	-0.03145
0.63	1.83918	0.03233	-0.03233
0.6305	2.01462	0.13335	-0.13335
0.6375	1.87678	0.08256	-0.08256
0.64	1.82743	0.10138	-0.10138
0.64051	2.0713	0.13289	-0.13289
0.6426	2.22231	0.24462	-0.24462
0.65049	2.41066	0.15661	-0.15661
0.65952	2.66538	0.02816	-0.02816
0.66	2.68093	0.02847	-0.02847
0.6605	2.57812	0.14654	-0.14654
0.6626	2.77054	0.37057	-0.37057
0.6705	2.98936	0.16151	-0.16151
0.6776	3.3272	0.21371	-0.21371
0.68059	3.82901	0.17753	-0.17753
0.6875	4.09426	0.33512	-0.33512
0.6876	4.0981	0.33996	-0.33996
0.68956	4.12935	0.07074	-0.07074
0.69	4.1364	0.04088	-0.04088
0.69043	4.06039	0.14483	-0.14483
0.6976	4.57888	0.26981	-0.26981
0.7	4.736	0.30963	-0.30963
0.70052	4.76808	0.12758	-0.12758
0.7076	5.02195	0.24278	-0.24278
0.71047	5.57636	0.20044	-0.20044
0.7176	5.70707	0.29328	-0.29328
0.71951	6.16537	0.06824	-0.06824
0.72	6.28308	0.041	-0.041
0.72025	6.48024	0.17172	-0.17172
0.7276	6.61028	0.43831	-0.43831
0.73024	7.0504	0.24317	-0.24317
0.7375	7.51559	0.40036	-0.40036
0.7376	7.522	0.40586	-0.40586
0.74	9.23169	0.82595	-0.82595
0.7402	7.81113	0.24429	-0.24429
0.7476	8.18975	0.37122	-0.37122
0.7495	8.40992	0.10826	-0.10826
0.74979	8.44409	0.09301	-0.09301
0.75	8.46645	0.10161	-0.10161
0.7502	7.35286	0.50889	-0.50889
0.75028	8.81559	0.24283	-0.24283
0.7504	8.82912	0.23541	-0.23541
0.7576	8.7449	0.38332	-0.38332
0.7595	8.89862	0.09693	-0.09693
0.75979	8.92262	0.07098	-0.07098
0.76	9.01818	0.07648	-0.07648
0.76018	9.44356	0.25577	-0.25577
0.7604	9.27291	0.2318	-0.2318
0.7635	9.18243	0.06843	-0.06843
0.76379	9.17555	0.06678	-0.06678
0.764	9.19366	0.07159	-0.07159
0.76417	9.45586	0.22174	-0.22174
0.7644	9.4237	0.2039	-0.2039
0.765	9.44214	0.19576	-0.19576
0.7676	9.52205	0.44003	-0.44003
0.7695	9.72673	0.11254	-0.11254
0.76979	9.76121	0.08209	-0.08209
0.77	9.99286	0.09374	-0.09374
0.77011	10.4834	0.26546	-0.26546
0.7704	10.32274	0.23455	-0.23455
0.7732	10.85005	0.72944	-0.72944
0.7735	10.91999	0.52626	-0.52626
0.7736	10.94949	0.64104	-0.64104
0.77379	11.0909	0.34209	-0.34209
0.774	11.20199	0.09658	-0.09658
0.77438	11.12463	0.284	-0.284
0.7744	11.41367	0.2538	-0.2538
