Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.228230   0.051834   0.016756   0.000000 
  0.069881   0.013976   0.000349   0.000000 
  0.092308   0.007692   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.045918   0.010204   0.000000   0.000000 
  0.111111   0.041667   0.001984   0.000000 
  0.033058   0.000000   0.000000   0.000000 
  0.188737   0.054795   0.007107   0.000000 
  0.047619   0.000000   0.000000   0.000000 
  0.068587   0.013717   0.000000   0.000000 
  0.128676   0.014706   0.000000   0.000000 
  0.062500   0.015000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.114035   0.025063   0.003776   0.000000 
  0.096154   0.057692   0.000000   0.000000 
  0.049342   0.013158   0.003289   0.000000 
  0.037152   0.018576   0.000000   0.000000 
  0.062069   0.013793   0.004138   0.000000 
  0.181818   0.060606   0.000000   0.000000 
  0.107656   0.095694   0.000000   0.000000 
  0.062411   0.011348   0.001891   0.000000 
  0.050000   0.050000   0.000000   0.000000 
  0.075758   0.032468   0.004329   0.000000 
  0.167032   0.025972   0.005683   0.000000 
  0.081731   0.009615   0.001925   0.000000 
  0.062394   0.023823   0.001134   0.000000 
  0.123677   0.047288   0.013232   0.000000 
  0.150000   0.016667   0.010426   0.000000 
  0.153846   0.128205   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.117521   0.027066   0.009800   0.000000 
  0.079365   0.026455   0.005291   0.000000 
  0.013468   0.000000   0.000000   0.000000 
  0.034602   0.013841   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.073529   0.029412   0.000000   0.000000 
  0.066038   0.017417   0.006537   0.000000 
  0.033333   0.025000   0.000000   0.000000 
  0.076981   0.016604   0.004528   0.000000 
  0.076190   0.028571   0.000000   0.000000 
  0.045351   0.006803   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.042735   0.008547   0.001425   0.000000 
  0.056426   0.008359   0.000000   0.000000 
  0.100000   0.033333   0.000000   0.000000 
  0.045113   0.010025   0.005013   0.000000 
  0.125000   0.031746   0.013267   0.000000 
  0.104167   0.027778   0.000000   0.000000 
  0.024691   0.024691   0.000000   0.000000 
  0.186054   0.045028   0.015646   0.000000 
  0.121600   0.014400   0.002400   0.000000 
  0.065831   0.006270   0.002090   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.041667   0.006944   0.000000   0.000000 
  0.043290   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.078431   0.035294   0.000000   0.000000 
  0.064815   0.024691   0.001543   0.000000 
  0.064815   0.008418   0.001684   0.000000 
  0.107143   0.048214   0.001786   0.000000 
  0.158889   0.050556   0.015558   0.000000 
  0.136842   0.034211   0.003509   0.000000 
  0.114556   0.021302   0.002840   0.000000 
  0.116139   0.040724   0.004536   0.000000 
  0.116343   0.022161   0.000000   0.000000 
  0.083102   0.044321   0.005540   0.000000 
  0.055556   0.011111   0.005556   0.000000 
  0.116341   0.044685   0.009523   0.000000 
  0.107143   0.007143   0.007143   0.000000 
  0.032086   0.007130   0.005348   0.000000 
  0.165485   0.023641   0.003962   0.000000 
  0.025000   0.000000   0.000000   0.000000 
  0.048851   0.005747   0.000000   0.000000 
  0.104974   0.008233   0.000686   0.000000 
  0.067586   0.008276   0.001379   0.000000 
  0.096774   0.024194   0.012097   0.000000 
  0.050000   0.035714   0.007143   0.000000 
  0.094192   0.024725   0.001962   0.000000 
  0.083333   0.027778   0.006944   0.000000 
  0.238587   0.029655   0.005934   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.044444   0.007407   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.027701   0.002770   0.000000   0.000000 
  0.086777   0.012397   0.000517   0.000000 
  0.105477   0.018256   0.004057   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.095960   0.008658   0.000481   0.000000 
  0.109091   0.013636   0.000000   0.000000 
  0.080645   0.024194   0.002016   0.000000 
  0.071146   0.017787   0.011950   0.000000 
  0.186667   0.033524   0.008573   0.000000 
  0.052632   0.002632   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.285714   0.107143   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.141129   0.012097   0.002041   0.000000 
  0.054505   0.016685   0.006674   0.000000 
  0.014286   0.014286   0.004762   0.000000 
  0.068796   0.004914   0.000410   0.000000 
  0.023781   0.007134   0.001189   0.000000 
  0.092838   0.015915   0.000000   0.000000 
  0.119225   0.038251   0.008700   0.000000 
  0.084942   0.006178   0.001544   0.000000 
  0.105042   0.084034   0.000000   0.000000 
  0.091747   0.023705   0.009224   0.000000 
  0.157343   0.034965   0.005245   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.108721   0.020930   0.001163   0.000000 
  0.027701   0.027701   0.008310   0.000000 
  0.087774   0.010449   0.001045   0.000000 
  0.058594   0.015625   0.000000   0.000000 
  0.122449   0.081633   0.000000   0.000000 
  0.114286   0.019643   0.002440   0.000000 
  0.035556   0.017778   0.000000   0.000000 
  0.206222   0.024127   0.009783   0.000000 
  0.121968   0.006930   0.000700   0.000000 
  0.163866   0.010084   0.005042   0.000000 
  0.023810   0.004762   0.000000   0.000000 
  0.080268   0.010033   0.000000   0.000000 
  0.132313   0.021870   0.002735   0.000000 
  0.148148   0.041152   0.004115   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.050174   0.027875   0.000697   0.000000 
  0.200501   0.050125   0.005013   0.000000 
  0.005102   0.005102   0.000000   0.000000 
  0.071429   0.000000   0.000000   0.000000 
  0.092628   0.005671   0.003781   0.000000 
  0.019565   0.000000   0.000000   0.000000 
  0.088889   0.033333   0.011111   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.135507   0.029458   0.002946   0.000000 
  0.122470   0.018525   0.003431   0.000000 
  0.017544   0.011696   0.005848   0.000000 
  0.079772   0.029915   0.002137   0.000000 
  0.111111   0.012346   0.001235   0.000000 
  0.166205   0.011080   0.005540   0.000000 
  0.167936   0.021040   0.006667   0.000000 
  0.112500   0.037500   0.000000   0.000000 
  0.080214   0.032086   0.000000   0.000000 
  0.078868   0.005056   0.001011   0.000000 
  0.077356   0.010618   0.001950   0.000000 
  0.172766   0.032274   0.013475   0.000000 
  0.057692   0.003846   0.000000   0.000000 
  0.063492   0.009070   0.000000   0.000000 
  0.104928   0.022258   0.002401   0.000000 
  0.073043   0.027826   0.000000   0.000000 
  0.072727   0.001732   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.039216   0.032680   0.000000   0.000000 
