10044.8 0.0156568 0.0139963 0.0164982 0.0140094 0.0172902
11983 0.0140331 0.0126442 0.0155949 0.0127093 0.0153126
12009.7 0.014011 0.0126282 0.0155749 0.0126916 0.0152859
13886.1 0.0126395 0.0117355 0.0139963 0.0115966 0.0136263
14042 0.0125454 0.0116856 0.0138642 0.0115227 0.0135119
15948.3 0.0117051 0.0113586 0.0124791 0.0108879 0.0124753
15984 0.0116952 0.0113549 0.0124585 0.0108812 0.0124627
16019.7 0.0116856 0.0113512 0.0124381 0.0108746 0.0124504
17872.4 0.0114034 0.0110343 0.0116856 0.0107093 0.0120584
17952.4 0.0113968 0.0110128 0.0116663 0.0107061 0.0120481
20943.4 0.0110342 0.0099928 0.0113295 0.0103946 0.0115978
20990.2 0.0110236 0.0099763 0.0113262 0.0103839 0.0115866
21037.2 0.0110128 0.0099598 0.0113229 0.0103729 0.0115752
23733.6 0.0101698 0.009115 0.0109982 0.0095103 0.0107398
24161.4 0.0100246 0.0090091 0.0109049 0.0093629 0.0105992
27936.3 0.0090202 0.0084138 0.0098164 0.0083803 0.0096057
27998.7 0.0090092 0.0084063 0.0097991 0.0083702 0.0095942
27998.8 0.0090091 0.0084063 0.009799 0.0083702 0.0095941
31729 0.0085781 0.0079062 0.0090238 0.0080173 0.0091129
32157 0.0085447 0.0078391 0.0089675 0.0079933 0.0090729
40929 0.0078484 0.0064526 0.0083647 0.0074296 0.0082875
41020 0.0078391 0.0064402 0.0083601 0.007421 0.0082779
41020 0.0078391 0.0064402 0.00836 0.007421 0.0082779
49595 0.0068571 0.0055524 0.0078391 0.0064627 0.007301
50377 0.0067682 0.0054991 0.0077795 0.0063737 0.0072142
64839 0.0055071 0.0050743 0.006525 0.0050977 0.0059817
64983 0.0054991 0.0050732 0.0065127 0.0050896 0.0059737
64984 0.0054991 0.0050732 0.0065127 0.0050896 0.0059737
79628 0.0050763 0.0050347 0.0054991 0.0046733 0.0055163
80702 0.0050654 0.0050311 0.0054483 0.0046634 0.0055015
100000 0.0050025 0.0048815 0.0050377 0.0046069 0.005383
100224 0.0050018 0.0048795 0.0050366 0.0046061 0.0053821
100224 0.0050018 0.0048795 0.0050366 0.0046061 0.0053821
116141 0.0049173 0.0047682 0.0050018 0.0044918 0.0053058
120905 0.0048864 0.0047532 0.0049856 0.0044459 0.0052872
149816 0.0047678 0.0048158 0.0048452 0.0041852 0.0053073
150151 0.0047675 0.0048174 0.0048438 0.0041828 0.005309
178724 0.0047974 0.0049699 0.0047678 0.0040289 0.0055307
181946 0.0048054 0.0049872 0.0047655 0.0040159 0.005561
239466 0.0049839 0.0052053 0.0048389 0.0038489 0.0061133
240536 0.0049872 0.0052072 0.0048412 0.0038464 0.0061229
240538 0.0049872 0.0052072 0.0048412 0.0038464 0.0061229
297390 0.0051335 0.0051764 0.0049726 0.0037223 0.0065603
