Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))    misID(gamma cuts(pt+p+eta))    S/sqrt(B+misID)(gamma cuts(pt+p+eta))    S/sqrt(misID)(gamma cuts(pt+p+eta)) 
1.30000e-01   6.80000e+00   2.32468e-04   2.60090e-01   4.18176e-01   3.12964e-02   3.59488e-04   1.31407e-03  
1.30000e-01   6.90000e+00   2.31723e-04   2.59470e-01   4.16303e-01   3.06632e-02   3.59141e-04   1.32331e-03  
1.30000e-01   7.00000e+00   2.29674e-04   2.56680e-01   4.12280e-01   3.00500e-02   3.57698e-04   1.32492e-03  
1.30000e-01   7.10000e+00   2.27998e-04   2.55130e-01   4.08900e-01   2.94605e-02   3.56551e-04   1.32834e-03  
1.30000e-01   7.20000e+00   2.27066e-04   2.53890e-01   4.06754e-01   2.88644e-02   3.56030e-04   1.33651e-03  
1.30000e-01   7.30000e+00   2.26135e-04   2.52960e-01   4.04697e-01   2.83565e-02   3.55470e-04   1.34289e-03  
1.30000e-01   7.40000e+00   2.24459e-04   2.51720e-01   4.01355e-01   2.78052e-02   3.54300e-04   1.34609e-03  
1.30000e-01   7.50000e+00   2.22410e-04   2.49550e-01   3.97381e-01   2.72411e-02   3.52817e-04   1.34754e-03  
1.30000e-01   7.60000e+00   2.20919e-04   2.48000e-01   3.94315e-01   2.66546e-02   3.51813e-04   1.35315e-03  
1.30000e-01   7.70000e+00   2.19243e-04   2.45830e-01   3.91055e-01   2.61850e-02   3.50596e-04   1.35488e-03  
1.30000e-01   7.80000e+00   2.17380e-04   2.43660e-01   3.87535e-01   2.57650e-02   3.49192e-04   1.35427e-03  
1.30000e-01   7.90000e+00   2.15517e-04   2.41490e-01   3.84004e-01   2.53337e-02   3.47788e-04   1.35405e-03  
1.30000e-01   8.00000e+00   2.14400e-04   2.40250e-01   3.81761e-01   2.49509e-02   3.46999e-04   1.35732e-03  
1.30000e-01   8.10000e+00   2.12351e-04   2.38700e-01   3.77910e-01   2.45101e-02   3.45430e-04   1.35638e-03  
1.30000e-01   8.20000e+00   2.10674e-04   2.36840e-01   3.74703e-01   2.40929e-02   3.44166e-04   1.35727e-03  
1.30000e-01   8.30000e+00   2.09557e-04   2.35910e-01   3.72422e-01   2.36719e-02   3.43387e-04   1.36202e-03  
1.30000e-01   8.40000e+00   2.08625e-04   2.34670e-01   3.70430e-01   2.32297e-02   3.42779e-04   1.36882e-03  
1.30000e-01   8.50000e+00   2.06949e-04   2.33740e-01   3.67278e-01   2.28676e-02   3.41481e-04   1.36852e-03  
1.30000e-01   8.60000e+00   2.05459e-04   2.31880e-01   3.64399e-01   2.24689e-02   3.40358e-04   1.37067e-03  
1.30000e-01   8.70000e+00   2.04900e-04   2.30950e-01   3.63025e-01   2.20250e-02   3.40074e-04   1.38065e-03  
1.30000e-01   8.80000e+00   2.02106e-04   2.27540e-01   3.58049e-01   2.16995e-02   3.37759e-04   1.37200e-03  
1.30000e-01   8.90000e+00   2.00802e-04   2.25990e-01   3.55495e-01   2.13147e-02   3.36784e-04   1.37540e-03  
1.30000e-01   9.00000e+00   1.98567e-04   2.23200e-01   3.51398e-01   2.09378e-02   3.34971e-04   1.37227e-03  
1.30000e-01   9.10000e+00   1.96704e-04   2.20720e-01   3.47890e-01   2.05297e-02   3.33497e-04   1.37285e-03  
1.30000e-01   9.20000e+00   1.94469e-04   2.17620e-01   3.43803e-01   2.01629e-02   3.31661e-04   1.36954e-03  
1.30000e-01   9.30000e+00   1.92233e-04   2.14830e-01   3.39735e-01   1.98149e-02   3.29806e-04   1.36563e-03  
1.30000e-01   9.40000e+00   1.91116e-04   2.14210e-01   3.37545e-01   1.94854e-02   3.28950e-04   1.36912e-03  
1.30000e-01   9.50000e+00   1.89998e-04   2.13280e-01   3.35364e-01   1.91638e-02   3.28089e-04   1.37249e-03  
1.30000e-01   9.60000e+00   1.88880e-04   2.11420e-01   3.33176e-01   1.88363e-02   3.27228e-04   1.37623e-03  
1.30000e-01   9.70000e+00   1.87763e-04   2.10180e-01   3.31008e-01   1.85276e-02   3.26355e-04   1.37943e-03  
1.30000e-01   9.80000e+00   1.87390e-04   2.09560e-01   3.30105e-01   1.82450e-02   3.26153e-04   1.38732e-03  
1.30000e-01   9.90000e+00   1.86273e-04   2.07700e-01   3.27958e-01   1.79577e-02   3.25267e-04   1.39003e-03  
1.40000e-01   0.00000e+00   3.59693e-04   3.58980e-01   6.88101e-01   8.94910e-02   4.33616e-04   1.20238e-03  
1.40000e-01   1.00000e-01   3.59693e-04   3.58980e-01   6.88101e-01   8.94910e-02   4.33616e-04   1.20238e-03  
1.40000e-01   2.00000e-01   3.59693e-04   3.58980e-01   6.88101e-01   8.94910e-02   4.33616e-04   1.20238e-03  
1.40000e-01   3.00000e-01   3.59693e-04   3.58980e-01   6.88101e-01   8.94910e-02   4.33616e-04   1.20238e-03  
1.40000e-01   4.00000e-01   3.59693e-04   3.58980e-01   6.88101e-01   8.94910e-02   4.33616e-04   1.20238e-03  
1.40000e-01   5.00000e-01   3.59693e-04   3.58980e-01   6.88101e-01   8.94910e-02   4.33616e-04   1.20238e-03  
1.40000e-01   6.00000e-01   3.59693e-04   3.58980e-01   6.88097e-01   8.94874e-02   4.33617e-04   1.20240e-03  
1.40000e-01   7.00000e-01   3.59693e-04   3.58980e-01   6.88057e-01   8.94468e-02   4.33630e-04   1.20268e-03  
1.40000e-01   8.00000e-01   3.59693e-04   3.58980e-01   6.87927e-01   8.93172e-02   4.33671e-04   1.20355e-03  
1.40000e-01   9.00000e-01   3.59693e-04   3.58980e-01   6.87659e-01   8.90489e-02   4.33755e-04   1.20536e-03  
1.40000e-01   1.00000e+00   3.58761e-04   3.58050e-01   6.85728e-01   8.86678e-02   4.33241e-04   1.20482e-03  
1.40000e-01   1.10000e+00   3.58202e-04   3.58050e-01   6.84198e-01   8.80684e-02   4.33049e-04   1.20703e-03  
1.40000e-01   1.20000e+00   3.56898e-04   3.57430e-01   6.81186e-01   8.72256e-02   4.32426e-04   1.20843e-03  
1.40000e-01   1.30000e+00   3.55222e-04   3.56810e-01   6.77508e-01   8.63381e-02   4.31561e-04   1.20892e-03  
1.40000e-01   1.40000e+00   3.54104e-04   3.55880e-01   6.74605e-01   8.52947e-02   4.31128e-04   1.21247e-03  
1.40000e-01   1.50000e+00   3.51683e-04   3.54020e-01   6.69432e-01   8.41524e-02   4.29831e-04   1.21232e-03  
1.40000e-01   1.60000e+00   3.50379e-04   3.53400e-01   6.66116e-01   8.30061e-02   4.29302e-04   1.21614e-03  
1.40000e-01   1.70000e+00   3.48144e-04   3.51540e-01   6.61151e-01   8.17613e-02   4.28162e-04   1.21754e-03  
1.40000e-01   1.80000e+00   3.47026e-04   3.50920e-01   6.58025e-01   8.04952e-02   4.27800e-04   1.22314e-03  
1.40000e-01   1.90000e+00   3.45536e-04   3.49990e-01   6.54266e-01   7.92160e-02   4.27185e-04   1.22768e-03  
1.40000e-01   2.00000e+00   3.43673e-04   3.48130e-01   6.49830e-01   7.78800e-02   4.26330e-04   1.23149e-03  
1.40000e-01   2.10000e+00   3.42183e-04   3.46890e-01   6.46036e-01   7.65661e-02   4.25726e-04   1.23663e-03  
1.40000e-01   2.20000e+00   3.41065e-04   3.45650e-01   6.42736e-01   7.51259e-02   4.25423e-04   1.24435e-03  
1.40000e-01   2.30000e+00   3.38085e-04   3.42860e-01   6.36519e-01   7.38688e-02   4.23760e-04   1.24393e-03  
1.40000e-01   2.40000e+00   3.35850e-04   3.41930e-01   6.31459e-01   7.25293e-02   4.22642e-04   1.24706e-03  
1.40000e-01   2.50000e+00   3.33242e-04   3.40690e-01   6.25894e-01   7.13040e-02   4.21220e-04   1.24797e-03  
1.40000e-01   2.60000e+00   3.31565e-04   3.39760e-01   6.21911e-01   7.01112e-02   4.20441e-04   1.25220e-03  
1.40000e-01   2.70000e+00   3.28771e-04   3.38210e-01   6.16101e-01   6.89507e-02   4.18859e-04   1.25206e-03  
1.40000e-01   2.80000e+00   3.25605e-04   3.35730e-01   6.09619e-01   6.77390e-02   4.17024e-04   1.25104e-03  
1.40000e-01   2.90000e+00   3.23928e-04   3.34490e-01   6.05636e-01   6.65464e-02   4.16239e-04   1.25570e-03  
1.40000e-01   3.00000e+00   3.19830e-04   3.32940e-01   5.97716e-01   6.54464e-02   4.13687e-04   1.25019e-03  
1.40000e-01   3.10000e+00   3.17222e-04   3.30460e-01   5.92180e-01   6.42504e-02   4.12227e-04   1.25149e-03  
1.40000e-01   3.20000e+00   3.14987e-04   3.28910e-01   5.87338e-01   6.31280e-02   4.11006e-04   1.25367e-03  
1.40000e-01   3.30000e+00   3.13124e-04   3.26740e-01   5.83000e-01   6.18904e-02   4.10093e-04   1.25865e-03  
1.40000e-01   3.40000e+00   3.11448e-04   3.26120e-01   5.79018e-01   6.06983e-02   4.09298e-04   1.26415e-03  
1.40000e-01   3.50000e+00   3.09399e-04   3.24570e-01   5.74457e-01   5.95467e-02   4.08216e-04   1.26791e-03  
1.40000e-01   3.60000e+00   3.06977e-04   3.21780e-01   5.69371e-01   5.84915e-02   4.06826e-04   1.26929e-03  
1.40000e-01   3.70000e+00   3.05860e-04   3.20850e-01   5.66463e-01   5.74435e-02   4.06384e-04   1.27615e-03  
1.40000e-01   3.80000e+00   3.03624e-04   3.19610e-01   5.61748e-01   5.64478e-02   4.05104e-04   1.27795e-03  
1.40000e-01   3.90000e+00   3.01203e-04   3.18060e-01   5.56694e-01   5.54239e-02   4.03693e-04   1.27941e-03  
1.40000e-01   4.00000e+00   2.99526e-04   3.16820e-01   5.52940e-01   5.44600e-02   4.02806e-04   1.28350e-03  
1.40000e-01   4.10000e+00   2.96174e-04   3.14340e-01   5.46339e-01   5.34387e-02   4.00696e-04   1.28120e-03  
1.40000e-01   4.20000e+00   2.93938e-04   3.12790e-01   5.41665e-01   5.24850e-02   3.99384e-04   1.28303e-03  
1.40000e-01   4.30000e+00   2.91889e-04   3.11550e-01   5.37251e-01   5.14807e-02   3.98226e-04   1.28646e-03  
1.40000e-01   4.40000e+00   2.89095e-04   3.09690e-01   5.31634e-01   5.05138e-02   3.96492e-04   1.28628e-03  
1.40000e-01   4.50000e+00   2.87232e-04   3.07830e-01   5.27628e-01   4.96078e-02   3.95430e-04   1.28961e-03  
1.40000e-01   4.60000e+00   2.85370e-04   3.06590e-01   5.23599e-01   4.86787e-02   3.94374e-04   1.29342e-03  
1.40000e-01   4.70000e+00   2.83134e-04   3.04730e-01   5.19030e-01   4.78302e-02   3.93003e-04   1.29462e-03  
1.40000e-01   4.80000e+00   2.80340e-04   3.02250e-01   5.13468e-01   4.69178e-02   3.91227e-04   1.29425e-03  
1.40000e-01   4.90000e+00   2.77919e-04   3.00390e-01   5.08543e-01   4.60234e-02   3.89721e-04   1.29547e-03  
1.40000e-01   5.00000e+00   2.74938e-04   2.96670e-01   5.02736e-01   4.51756e-02   3.87762e-04   1.29355e-03  
1.40000e-01   5.10000e+00   2.72144e-04   2.94500e-01   4.97202e-01   4.42924e-02   3.85951e-04   1.29311e-03  
1.40000e-01   5.20000e+00   2.68791e-04   2.90470e-01   4.90765e-01   4.34347e-02   3.83688e-04   1.28972e-03  
1.40000e-01   5.30000e+00   2.66184e-04   2.88300e-01   4.85552e-01   4.25620e-02   3.82000e-04   1.29024e-03  
1.40000e-01   5.40000e+00   2.63948e-04   2.86130e-01   4.81030e-01   4.17599e-02   3.80569e-04   1.29163e-03  
1.40000e-01   5.50000e+00   2.61341e-04   2.82720e-01   4.75856e-01   4.09259e-02   3.78852e-04   1.29184e-03  
1.40000e-01   5.60000e+00   2.59105e-04   2.80240e-01   4.71294e-01   4.00837e-02   3.77425e-04   1.29417e-03  
1.40000e-01   5.70000e+00   2.56870e-04   2.78380e-01   4.66809e-01   3.93192e-02   3.75962e-04   1.29542e-03  
1.40000e-01   5.80000e+00   2.52958e-04   2.75590e-01   4.59485e-01   3.85046e-02   3.73176e-04   1.28912e-03  
1.40000e-01   5.90000e+00   2.51096e-04   2.73730e-01   4.55626e-01   3.77460e-02   3.71993e-04   1.29242e-03  
1.40000e-01   6.00000e+00   2.49047e-04   2.72180e-01   4.51424e-01   3.69536e-02   3.70671e-04   1.29554e-03  
1.40000e-01   6.10000e+00   2.47929e-04   2.71250e-01   4.48801e-01   3.61915e-02   3.70084e-04   1.30324e-03  
1.40000e-01   6.20000e+00   2.45880e-04   2.70010e-01   4.44638e-01   3.54385e-02   3.68739e-04   1.30613e-03  
1.40000e-01   6.30000e+00   2.43645e-04   2.67530e-01   4.40217e-01   3.47371e-02   3.67218e-04   1.30725e-03  
1.40000e-01   6.40000e+00   2.42527e-04   2.66290e-01   4.37635e-01   3.40152e-02   3.66610e-04   1.31499e-03  
1.40000e-01   6.50000e+00   2.39174e-04   2.64430e-01   4.31397e-01   3.33568e-02   3.64146e-04   1.30955e-03  
1.40000e-01   6.60000e+00   2.37498e-04   2.63810e-01   4.27863e-01   3.26130e-02   3.63084e-04   1.31511e-03  
1.40000e-01   6.70000e+00   2.34331e-04   2.61330e-01   4.21941e-01   3.19605e-02   3.60748e-04   1.31076e-03  
1.40000e-01   6.80000e+00   2.32468e-04   2.60090e-01   4.18176e-01   3.12964e-02   3.59488e-04   1.31407e-03  
1.40000e-01   6.90000e+00   2.31723e-04   2.59470e-01   4.16303e-01   3.06632e-02   3.59141e-04   1.32331e-03  
1.40000e-01   7.00000e+00   2.29674e-04   2.56680e-01   4.12280e-01   3.00500e-02   3.57698e-04   1.32492e-03  
1.40000e-01   7.10000e+00   2.27998e-04   2.55130e-01   4.08900e-01   2.94605e-02   3.56551e-04   1.32834e-03  
1.40000e-01   7.20000e+00   2.27066e-04   2.53890e-01   4.06754e-01   2.88644e-02   3.56030e-04   1.33651e-03  
1.40000e-01   7.30000e+00   2.26135e-04   2.52960e-01   4.04697e-01   2.83565e-02   3.55470e-04   1.34289e-03  
1.40000e-01   7.40000e+00   2.24459e-04   2.51720e-01   4.01355e-01   2.78052e-02   3.54300e-04   1.34609e-03  
1.40000e-01   7.50000e+00   2.22410e-04   2.49550e-01   3.97381e-01   2.72411e-02   3.52817e-04   1.34754e-03  
1.40000e-01   7.60000e+00   2.20919e-04   2.48000e-01   3.94315e-01   2.66546e-02   3.51813e-04   1.35315e-03  
1.40000e-01   7.70000e+00   2.19243e-04   2.45830e-01   3.91055e-01   2.61850e-02   3.50596e-04   1.35488e-03  
1.40000e-01   7.80000e+00   2.17380e-04   2.43660e-01   3.87535e-01   2.57650e-02   3.49192e-04   1.35427e-03  
1.40000e-01   7.90000e+00   2.15517e-04   2.41490e-01   3.84004e-01   2.53337e-02   3.47788e-04   1.35405e-03  
1.40000e-01   8.00000e+00   2.14400e-04   2.40250e-01   3.81761e-01   2.49509e-02   3.46999e-04   1.35732e-03  
1.40000e-01   8.10000e+00   2.12351e-04   2.38700e-01   3.77910e-01   2.45101e-02   3.45430e-04   1.35638e-03  
1.40000e-01   8.20000e+00   2.10674e-04   2.36840e-01   3.74703e-01   2.40929e-02   3.44166e-04   1.35727e-03  
1.40000e-01   8.30000e+00   2.09557e-04   2.35910e-01   3.72422e-01   2.36719e-02   3.43387e-04   1.36202e-03  
1.40000e-01   8.40000e+00   2.08625e-04   2.34670e-01   3.70430e-01   2.32297e-02   3.42779e-04   1.36882e-03  
1.40000e-01   8.50000e+00   2.06949e-04   2.33740e-01   3.67278e-01   2.28676e-02   3.41481e-04   1.36852e-03  
1.40000e-01   8.60000e+00   2.05459e-04   2.31880e-01   3.64399e-01   2.24689e-02   3.40358e-04   1.37067e-03  
1.40000e-01   8.70000e+00   2.04900e-04   2.30950e-01   3.63025e-01   2.20250e-02   3.40074e-04   1.38065e-03  
1.40000e-01   8.80000e+00   2.02106e-04   2.27540e-01   3.58049e-01   2.16995e-02   3.37759e-04   1.37200e-03  
1.40000e-01   8.90000e+00   2.00802e-04   2.25990e-01   3.55495e-01   2.13147e-02   3.36784e-04   1.37540e-03  
1.40000e-01   9.00000e+00   1.98567e-04   2.23200e-01   3.51398e-01   2.09378e-02   3.34971e-04   1.37227e-03  
1.40000e-01   9.10000e+00   1.96704e-04   2.20720e-01   3.47890e-01   2.05297e-02   3.33497e-04   1.37285e-03  
1.40000e-01   9.20000e+00   1.94469e-04   2.17620e-01   3.43803e-01   2.01629e-02   3.31661e-04   1.36954e-03  
1.40000e-01   9.30000e+00   1.92233e-04   2.14830e-01   3.39735e-01   1.98149e-02   3.29806e-04   1.36563e-03  
1.40000e-01   9.40000e+00   1.91116e-04   2.14210e-01   3.37545e-01   1.94854e-02   3.28950e-04   1.36912e-03  
1.40000e-01   9.50000e+00   1.89998e-04   2.13280e-01   3.35364e-01   1.91638e-02   3.28089e-04   1.37249e-03  
1.40000e-01   9.60000e+00   1.88880e-04   2.11420e-01   3.33176e-01   1.88363e-02   3.27228e-04   1.37623e-03  
1.40000e-01   9.70000e+00   1.87763e-04   2.10180e-01   3.31008e-01   1.85276e-02   3.26355e-04   1.37943e-03  
1.40000e-01   9.80000e+00   1.87390e-04   2.09560e-01   3.30105e-01   1.82450e-02   3.26153e-04   1.38732e-03  
1.40000e-01   9.90000e+00   1.86273e-04   2.07700e-01   3.27958e-01   1.79577e-02   3.25267e-04   1.39003e-03  
1.50000e-01   0.00000e+00   3.49075e-04   3.52780e-01   6.64020e-01   8.30802e-02   4.28379e-04   1.21107e-03  
1.50000e-01   1.00000e-01   3.49075e-04   3.52780e-01   6.64020e-01   8.30802e-02   4.28379e-04   1.21107e-03  
1.50000e-01   2.00000e-01   3.49075e-04   3.52780e-01   6.64020e-01   8.30802e-02   4.28379e-04   1.21107e-03  
1.50000e-01   3.00000e-01   3.49075e-04   3.52780e-01   6.64020e-01   8.30802e-02   4.28379e-04   1.21107e-03  
1.50000e-01   4.00000e-01   3.49075e-04   3.52780e-01   6.64020e-01   8.30802e-02   4.28379e-04   1.21107e-03  
1.50000e-01   5.00000e-01   3.49075e-04   3.52780e-01   6.64020e-01   8.30802e-02   4.28379e-04   1.21107e-03  
1.50000e-01   6.00000e-01   3.49075e-04   3.52780e-01   6.64020e-01   8.30802e-02   4.28379e-04   1.21107e-03  
1.50000e-01   7.00000e-01   3.49075e-04   3.52780e-01   6.63999e-01   8.30588e-02   4.28386e-04   1.21123e-03  
1.50000e-01   8.00000e-01   3.49075e-04   3.52780e-01   6.63939e-01   8.29993e-02   4.28405e-04   1.21166e-03  
1.50000e-01   9.00000e-01   3.49075e-04   3.52780e-01   6.63825e-01   8.28846e-02   4.28442e-04   1.21250e-03  
1.50000e-01   1.00000e+00   3.48516e-04   3.52160e-01   6.62705e-01   8.26950e-02   4.28117e-04   1.21195e-03  
1.50000e-01   1.10000e+00   3.47957e-04   3.52160e-01   6.61404e-01   8.23240e-02   4.27851e-04   1.21273e-03  
1.50000e-01   1.20000e+00   3.47026e-04   3.51850e-01   6.59293e-01   8.17627e-02   4.27389e-04   1.21362e-03  
1.50000e-01   1.30000e+00   3.45536e-04   3.51230e-01   6.56185e-01   8.11347e-02   4.26560e-04   1.21308e-03  
1.50000e-01   1.40000e+00   3.44604e-04   3.50610e-01   6.53828e-01   8.03275e-02   4.26176e-04   1.21587e-03  
1.50000e-01   1.50000e+00   3.42555e-04   3.49060e-01   6.49518e-01   7.94279e-02   4.25045e-04   1.21547e-03  
1.50000e-01   1.60000e+00   3.41624e-04   3.48440e-01   6.47025e-01   7.84850e-02   4.24706e-04   1.21942e-03  
1.50000e-01   1.70000e+00   3.39761e-04   3.46890e-01   6.42932e-01   7.74921e-02   4.23732e-04   1.22052e-03  
1.50000e-01   1.80000e+00   3.38644e-04   3.46270e-01   6.40001e-01   7.64212e-02   4.23304e-04   1.22500e-03  
1.50000e-01   1.90000e+00   3.37526e-04   3.45650e-01   6.37083e-01   7.53632e-02   4.22872e-04   1.22950e-03  
1.50000e-01   2.00000e+00   3.35663e-04   3.43790e-01   6.32841e-01   7.42213e-02   4.21946e-04   1.23208e-03  
1.50000e-01   2.10000e+00   3.34732e-04   3.42860e-01   6.30159e-01   7.30891e-02   4.21669e-04   1.23814e-03  
1.50000e-01   2.20000e+00   3.33987e-04   3.41620e-01   6.27635e-01   7.18052e-02   4.21576e-04   1.24638e-03  
1.50000e-01   2.30000e+00   3.31379e-04   3.39450e-01   6.22189e-01   7.06989e-02   4.20111e-04   1.24629e-03  
1.50000e-01   2.40000e+00   3.29703e-04   3.38520e-01   6.18226e-01   6.95265e-02   4.19323e-04   1.25040e-03  
1.50000e-01   2.50000e+00   3.27281e-04   3.37280e-01   6.13112e-01   6.84425e-02   4.17975e-04   1.25100e-03  
1.50000e-01   2.60000e+00   3.25791e-04   3.36350e-01   6.09564e-01   6.73739e-02   4.17282e-04   1.25514e-03  
1.50000e-01   2.70000e+00   3.22997e-04   3.34800e-01   6.03864e-01   6.63241e-02   4.15651e-04   1.25419e-03  
1.50000e-01   2.80000e+00   3.20389e-04   3.32630e-01   5.98418e-01   6.52177e-02   4.14167e-04   1.25457e-03  
1.50000e-01   2.90000e+00   3.19085e-04   3.31700e-01   5.95175e-01   6.41448e-02   4.13604e-04   1.25987e-03  
1.50000e-01   3.00000e+00   3.15173e-04   3.30150e-01   5.87665e-01   6.31445e-02   4.11135e-04   1.25424e-03  
1.50000e-01   3.10000e+00   3.12938e-04   3.27670e-01   5.82841e-01   6.20411e-02   4.09905e-04   1.25637e-03  
1.50000e-01   3.20000e+00   3.10703e-04   3.26120e-01   5.78079e-01   6.09992e-02   4.08650e-04   1.25801e-03  
1.50000e-01   3.30000e+00   3.08840e-04   3.23950e-01   5.73827e-01   5.98473e-02   4.07702e-04   1.26244e-03  
1.50000e-01   3.40000e+00   3.07164e-04   3.23330e-01   5.69962e-01   5.87715e-02   4.06862e-04   1.26703e-03  
1.50000e-01   3.50000e+00   3.05115e-04   3.21780e-01   5.65505e-01   5.77249e-02   4.05737e-04   1.26993e-03  
1.50000e-01   3.60000e+00   3.02879e-04   3.19300e-01   5.60813e-01   5.67531e-02   4.04446e-04   1.27138e-03  
1.50000e-01   3.70000e+00   3.01762e-04   3.18370e-01   5.57976e-01   5.57765e-02   4.03977e-04   1.27773e-03  
1.50000e-01   3.80000e+00   2.99526e-04   3.17130e-01   5.53337e-01   5.48574e-02   4.02662e-04   1.27884e-03  
1.50000e-01   3.90000e+00   2.97477e-04   3.15580e-01   5.48968e-01   5.38981e-02   4.01495e-04   1.28135e-03  
1.50000e-01   4.00000e+00   2.96360e-04   3.14960e-01   5.46227e-01   5.30169e-02   4.00989e-04   1.28710e-03  
1.50000e-01   4.10000e+00   2.93007e-04   3.12480e-01   5.39702e-01   5.20724e-02   3.98842e-04   1.28403e-03  
1.50000e-01   4.20000e+00   2.91144e-04   3.11240e-01   5.35727e-01   5.11968e-02   3.97774e-04   1.28673e-03  
1.50000e-01   4.30000e+00   2.89095e-04   3.10000e-01   5.31388e-01   5.02684e-02   3.96584e-04   1.28942e-03  
1.50000e-01   4.40000e+00   2.86860e-04   3.08450e-01   5.26782e-01   4.93824e-02   3.95234e-04   1.29087e-03  
1.50000e-01   4.50000e+00   2.84997e-04   3.06590e-01   5.22829e-01   4.85292e-02   3.94149e-04   1.29372e-03  
1.50000e-01   4.60000e+00   2.83321e-04   3.05350e-01   5.19182e-01   4.76721e-02   3.93204e-04   1.29762e-03  
1.50000e-01   4.70000e+00   2.81085e-04   3.03490e-01   5.14662e-01   4.68724e-02   3.91811e-04   1.29831e-03  
1.50000e-01   4.80000e+00   2.78291e-04   3.01010e-01   5.09156e-01   4.60156e-02   3.90009e-04   1.29732e-03  
1.50000e-01   4.90000e+00   2.75870e-04   2.99150e-01   5.04292e-01   4.51817e-02   3.88475e-04   1.29785e-03  
1.50000e-01   5.00000e+00   2.72889e-04   2.95430e-01   4.98536e-01   4.43859e-02   3.86490e-04   1.29528e-03  
1.50000e-01   5.10000e+00   2.70095e-04   2.93260e-01   4.93067e-01   4.35667e-02   3.84649e-04   1.29402e-03  
1.50000e-01   5.20000e+00   2.66742e-04   2.89230e-01   4.86695e-01   4.27755e-02   3.82352e-04   1.28972e-03  
1.50000e-01   5.30000e+00   2.64135e-04   2.87060e-01   4.81538e-01   4.19578e-02   3.80636e-04   1.28949e-03  
1.50000e-01   5.40000e+00   2.61899e-04   2.84890e-01   4.77066e-01   4.12057e-02   3.79180e-04   1.29020e-03  
1.50000e-01   5.50000e+00   2.59478e-04   2.81790e-01   4.72270e-01   4.04402e-02   3.77576e-04   1.29031e-03  
1.50000e-01   5.60000e+00   2.57429e-04   2.79310e-01   4.68063e-01   3.96427e-02   3.76275e-04   1.29293e-03  
1.50000e-01   5.70000e+00   2.55194e-04   2.77450e-01   4.63631e-01   3.89306e-02   3.74786e-04   1.29337e-03  
1.50000e-01   5.80000e+00   2.52027e-04   2.74970e-01   4.57588e-01   3.81584e-02   3.72571e-04   1.29019e-03  
1.50000e-01   5.90000e+00   2.50350e-04   2.73110e-01   4.54104e-01   3.74641e-02   3.71510e-04   1.29342e-03  
1.50000e-01   6.00000e+00   2.48488e-04   2.71560e-01   4.50268e-01   3.67281e-02   3.70313e-04   1.29660e-03  
1.50000e-01   6.10000e+00   2.47370e-04   2.70630e-01   4.47705e-01   3.60248e-02   3.69702e-04   1.30331e-03  
1.50000e-01   6.20000e+00   2.45694e-04   2.69700e-01   4.44184e-01   3.52939e-02   3.68649e-04   1.30781e-03  
1.50000e-01   6.30000e+00   2.43458e-04   2.67220e-01   4.39800e-01   3.46296e-02   3.67111e-04   1.30828e-03  
1.50000e-01   6.40000e+00   2.42341e-04   2.65980e-01   4.37258e-01   3.39484e-02   3.66486e-04   1.31528e-03  
1.50000e-01   6.50000e+00   2.39174e-04   2.64430e-01   4.31376e-01   3.33361e-02   3.64155e-04   1.30996e-03  
1.50000e-01   6.60000e+00   2.37498e-04   2.63810e-01   4.27859e-01   3.26090e-02   3.63086e-04   1.31520e-03  
1.50000e-01   6.70000e+00   2.34331e-04   2.61330e-01   4.21941e-01   3.19605e-02   3.60748e-04   1.31076e-03  
1.50000e-01   6.80000e+00   2.32468e-04   2.60090e-01   4.18176e-01   3.12964e-02   3.59488e-04   1.31407e-03  
1.50000e-01   6.90000e+00   2.31723e-04   2.59470e-01   4.16303e-01   3.06632e-02   3.59141e-04   1.32331e-03  
1.50000e-01   7.00000e+00   2.29674e-04   2.56680e-01   4.12280e-01   3.00500e-02   3.57698e-04   1.32492e-03  
1.50000e-01   7.10000e+00   2.27998e-04   2.55130e-01   4.08900e-01   2.94605e-02   3.56551e-04   1.32834e-03  
1.50000e-01   7.20000e+00   2.27066e-04   2.53890e-01   4.06754e-01   2.88644e-02   3.56030e-04   1.33651e-03  
1.50000e-01   7.30000e+00   2.26135e-04   2.52960e-01   4.04697e-01   2.83565e-02   3.55470e-04   1.34289e-03  
1.50000e-01   7.40000e+00   2.24459e-04   2.51720e-01   4.01355e-01   2.78052e-02   3.54300e-04   1.34609e-03  
1.50000e-01   7.50000e+00   2.22410e-04   2.49550e-01   3.97381e-01   2.72411e-02   3.52817e-04   1.34754e-03  
1.50000e-01   7.60000e+00   2.20919e-04   2.48000e-01   3.94315e-01   2.66546e-02   3.51813e-04   1.35315e-03  
1.50000e-01   7.70000e+00   2.19243e-04   2.45830e-01   3.91055e-01   2.61850e-02   3.50596e-04   1.35488e-03  
1.50000e-01   7.80000e+00   2.17380e-04   2.43660e-01   3.87535e-01   2.57650e-02   3.49192e-04   1.35427e-03  
1.50000e-01   7.90000e+00   2.15517e-04   2.41490e-01   3.84004e-01   2.53337e-02   3.47788e-04   1.35405e-03  
