Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))    misID(gamma cuts(pt+p+eta))    S/sqrt(B+misID)(gamma cuts(pt+p+eta))    S/sqrt(misID)(gamma cuts(pt+p+eta)) 
0.00000e+00   4.60000e+00   2.90213e-04   3.08140e-01   5.33789e-01   5.08087e-02   3.97221e-04   1.28750e-03  
0.00000e+00   4.70000e+00   2.87046e-04   3.06280e-01   5.27346e-01   4.96356e-02   3.95279e-04   1.28841e-03  
0.00000e+00   4.80000e+00   2.83134e-04   3.03490e-01   5.19636e-01   4.84358e-02   3.92774e-04   1.28650e-03  
0.00000e+00   4.90000e+00   2.80527e-04   3.01320e-01   5.14183e-01   4.73234e-02   3.91215e-04   1.28954e-03  
0.00000e+00   5.00000e+00   2.77174e-04   2.97290e-01   5.07555e-01   4.62747e-02   3.89055e-04   1.28849e-03  
0.00000e+00   5.10000e+00   2.74380e-04   2.95120e-01   5.01837e-01   4.52069e-02   3.87321e-04   1.29047e-03  
0.00000e+00   5.20000e+00   2.71027e-04   2.91090e-01   4.95243e-01   4.41930e-02   3.85126e-04   1.28924e-03  
0.00000e+00   5.30000e+00   2.68419e-04   2.88920e-01   4.89868e-01   4.31580e-02   3.83507e-04   1.29206e-03  
0.00000e+00   5.40000e+00   2.65439e-04   2.86750e-01   4.83990e-01   4.22397e-02   3.81545e-04   1.29153e-03  
0.00000e+00   5.50000e+00   2.62831e-04   2.83340e-01   4.78690e-01   4.12798e-02   3.79882e-04   1.29362e-03  
0.00000e+00   5.60000e+00   2.60223e-04   2.80240e-01   4.73426e-01   4.03560e-02   3.78198e-04   1.29536e-03  
0.00000e+00   5.70000e+00   2.57988e-04   2.78380e-01   4.68853e-01   3.95028e-02   3.76774e-04   1.29803e-03  
0.00000e+00   5.80000e+00   2.54076e-04   2.75590e-01   4.61470e-01   3.86303e-02   3.74017e-04   1.29271e-03  
0.00000e+00   5.90000e+00   2.51841e-04   2.73730e-01   4.56944e-01   3.78238e-02   3.72558e-04   1.29492e-03  
