Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
0.00000e+00   0.00000e+00   2.70895e-08   1.16986e-02   2.50457e-07  
0.00000e+00   5.00000e-01   2.21806e-08   8.72151e-03   2.37507e-07  
0.00000e+00   1.00000e+00   1.94559e-08   6.60134e-03   2.39461e-07  
0.00000e+00   1.50000e+00   1.69838e-08   4.99114e-03   2.40400e-07  
0.00000e+00   2.00000e+00   1.48601e-08   3.87594e-03   2.38689e-07  
0.00000e+00   2.50000e+00   1.36669e-08   3.20610e-03   2.41369e-07  
0.00000e+00   3.00000e+00   1.29903e-08   2.70375e-03   2.49825e-07  
0.00000e+00   3.50000e+00   1.22737e-08   2.32097e-03   2.54766e-07  
0.00000e+00   4.00000e+00   1.14505e-08   1.98946e-03   2.56719e-07  
0.00000e+00   4.50000e+00   1.09043e-08   1.75367e-03   2.60389e-07  
0.00000e+00   5.00000e+00   1.05287e-08   1.55100e-03   2.67344e-07  
0.00000e+00   5.50000e+00   9.93680e-09   1.37512e-03   2.67964e-07  
0.00000e+00   6.00000e+00   9.62739e-09   1.20912e-03   2.76868e-07  
0.00000e+00   6.50000e+00   9.13149e-09   1.07843e-03   2.78064e-07  
0.00000e+00   7.00000e+00   8.84644e-09   9.60044e-04   2.85511e-07  
0.00000e+00   7.50000e+00   8.46142e-09   8.42561e-04   2.91503e-07  
0.00000e+00   8.00000e+00   8.06213e-09   7.52079e-04   2.93980e-07  
0.00000e+00   8.50000e+00   7.63964e-09   6.71523e-04   2.94810e-07  
0.00000e+00   9.00000e+00   7.45337e-09   5.83697e-04   3.08503e-07  
0.00000e+00   9.50000e+00   7.50019e-09   5.10329e-04   3.32007e-07  
5.00000e-02   0.00000e+00   2.11215e-08   8.37741e-03   2.30765e-07  
5.00000e-02   5.00000e-01   2.00456e-08   7.38448e-03   2.33270e-07  
5.00000e-02   1.00000e+00   1.85882e-08   5.87214e-03   2.42571e-07  
5.00000e-02   1.50000e+00   1.67301e-08   4.70951e-03   2.43787e-07  
5.00000e-02   2.00000e+00   1.48601e-08   3.85038e-03   2.39480e-07  
5.00000e-02   2.50000e+00   1.36669e-08   3.20610e-03   2.41369e-07  
5.00000e-02   3.00000e+00   1.29903e-08   2.70375e-03   2.49825e-07  
5.00000e-02   3.50000e+00   1.22737e-08   2.32097e-03   2.54766e-07  
5.00000e-02   4.00000e+00   1.14505e-08   1.98946e-03   2.56719e-07  
5.00000e-02   4.50000e+00   1.09043e-08   1.75367e-03   2.60389e-07  
5.00000e-02   5.00000e+00   1.05287e-08   1.55100e-03   2.67344e-07  
5.00000e-02   5.50000e+00   9.93680e-09   1.37512e-03   2.67964e-07  
5.00000e-02   6.00000e+00   9.62739e-09   1.20912e-03   2.76868e-07  
5.00000e-02   6.50000e+00   9.13149e-09   1.07843e-03   2.78064e-07  
5.00000e-02   7.00000e+00   8.84644e-09   9.60044e-04   2.85511e-07  
5.00000e-02   7.50000e+00   8.46142e-09   8.42561e-04   2.91503e-07  
5.00000e-02   8.00000e+00   8.06213e-09   7.52079e-04   2.93980e-07  
5.00000e-02   8.50000e+00   7.63964e-09   6.71523e-04   2.94810e-07  
5.00000e-02   9.00000e+00   7.45337e-09   5.83697e-04   3.08503e-07  
5.00000e-02   9.50000e+00   7.50019e-09   5.10329e-04   3.32007e-07  
1.00000e-01   0.00000e+00   1.59949e-08   4.63998e-03   2.34813e-07  
1.00000e-01   5.00000e-01   1.60018e-08   4.63998e-03   2.34915e-07  
1.00000e-01   1.00000e+00   1.57690e-08   4.19339e-03   2.43513e-07  
1.00000e-01   1.50000e+00   1.50398e-08   3.68488e-03   2.47760e-07  
1.00000e-01   2.00000e+00   1.42254e-08   3.24809e-03   2.49603e-07  
1.00000e-01   2.50000e+00   1.32852e-08   2.88339e-03   2.47409e-07  
1.00000e-01   3.00000e+00   1.27612e-08   2.56967e-03   2.51740e-07  
1.00000e-01   3.50000e+00   1.22300e-08   2.25878e-03   2.57330e-07  
1.00000e-01   4.00000e+00   1.14530e-08   1.97543e-03   2.57685e-07  
1.00000e-01   4.50000e+00   1.09043e-08   1.75367e-03   2.60389e-07  
1.00000e-01   5.00000e+00   1.05287e-08   1.55100e-03   2.67344e-07  
1.00000e-01   5.50000e+00   9.93680e-09   1.37512e-03   2.67964e-07  
1.00000e-01   6.00000e+00   9.62739e-09   1.20912e-03   2.76868e-07  
1.00000e-01   6.50000e+00   9.13149e-09   1.07843e-03   2.78064e-07  
1.00000e-01   7.00000e+00   8.84644e-09   9.60044e-04   2.85511e-07  
1.00000e-01   7.50000e+00   8.46142e-09   8.42561e-04   2.91503e-07  
1.00000e-01   8.00000e+00   8.06213e-09   7.52079e-04   2.93980e-07  
1.00000e-01   8.50000e+00   7.63964e-09   6.71523e-04   2.94810e-07  
1.00000e-01   9.00000e+00   7.45337e-09   5.83697e-04   3.08503e-07  
1.00000e-01   9.50000e+00   7.50019e-09   5.10329e-04   3.32007e-07  
1.50000e-01   0.00000e+00   1.39664e-08   2.92672e-03   2.58163e-07  
1.50000e-01   5.00000e-01   1.39664e-08   2.92672e-03   2.58163e-07  
1.50000e-01   1.00000e+00   1.39520e-08   2.91943e-03   2.58219e-07  
1.50000e-01   1.50000e+00   1.36083e-08   2.73235e-03   2.60338e-07  
1.50000e-01   2.00000e+00   1.31045e-08   2.50734e-03   2.61707e-07  
1.50000e-01   2.50000e+00   1.24217e-08   2.28780e-03   2.59699e-07  
1.50000e-01   3.00000e+00   1.19449e-08   2.10073e-03   2.60614e-07  
1.50000e-01   3.50000e+00   1.16283e-08   1.89407e-03   2.67189e-07  
1.50000e-01   4.00000e+00   1.10933e-08   1.70639e-03   2.68548e-07  
1.50000e-01   4.50000e+00   1.05532e-08   1.57111e-03   2.66244e-07  
1.50000e-01   5.00000e+00   1.01975e-08   1.44726e-03   2.68053e-07  
1.50000e-01   5.50000e+00   9.88756e-09   1.32678e-03   2.71450e-07  
1.50000e-01   6.00000e+00   9.63567e-09   1.19852e-03   2.78329e-07  
1.50000e-01   6.50000e+00   9.13149e-09   1.07297e-03   2.78771e-07  
1.50000e-01   7.00000e+00   8.84644e-09   9.60044e-04   2.85511e-07  
1.50000e-01   7.50000e+00   8.46142e-09   8.42561e-04   2.91503e-07  
1.50000e-01   8.00000e+00   8.06213e-09   7.52079e-04   2.93980e-07  
1.50000e-01   8.50000e+00   7.63964e-09   6.71523e-04   2.94810e-07  
1.50000e-01   9.00000e+00   7.45337e-09   5.83697e-04   3.08503e-07  
1.50000e-01   9.50000e+00   7.50019e-09   5.10329e-04   3.32007e-07  
2.00000e-01   0.00000e+00   1.22790e-08   1.97563e-03   2.76255e-07  
2.00000e-01   5.00000e-01   1.22790e-08   1.97563e-03   2.76255e-07  
2.00000e-01   1.00000e+00   1.22790e-08   1.97563e-03   2.76255e-07  
2.00000e-01   1.50000e+00   1.22916e-08   1.97381e-03   2.76666e-07  
2.00000e-01   2.00000e+00   1.19501e-08   1.88432e-03   2.75292e-07  
2.00000e-01   2.50000e+00   1.16809e-08   1.76988e-03   2.77655e-07  
2.00000e-01   3.00000e+00   1.12667e-08   1.64435e-03   2.77844e-07  
