Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
0.00000e+00   0.00000e+00   5.26298e-04   3.48750e-01   1.16879e+00   3.48839e-01   4.86815e-04   8.91086e-04  
0.00000e+00   1.00000e-01   5.17344e-04   3.47200e-01   1.14804e+00   3.42036e-01   4.82839e-04   8.84593e-04  
0.00000e+00   2.00000e-01   4.97646e-04   3.45030e-01   1.09237e+00   3.17060e-01   4.76141e-04   8.83791e-04  
0.00000e+00   3.00000e-01   4.78942e-04   3.40690e-01   1.04025e+00   2.94082e-01   4.69584e-04   8.83177e-04  
0.00000e+00   4.00000e-01   4.60835e-04   3.36970e-01   9.92148e-01   2.74188e-01   4.62655e-04   8.80078e-04  
0.00000e+00   5.00000e-01   4.45314e-04   3.35420e-01   9.50631e-01   2.56851e-01   4.56731e-04   8.78670e-04  
0.00000e+00   6.00000e-01   4.32580e-04   3.32320e-01   9.15408e-01   2.41468e-01   4.52125e-04   8.80312e-04  
0.00000e+00   7.00000e-01   4.20044e-04   3.28910e-01   8.82309e-01   2.27899e-01   4.47182e-04   8.79880e-04  
0.00000e+00   8.00000e-01   4.08304e-04   3.23950e-01   8.51181e-01   2.15061e-01   4.42561e-04   8.80447e-04  
0.00000e+00   9.00000e-01   3.98952e-04   3.20540e-01   8.24973e-01   2.03423e-01   4.39239e-04   8.84547e-04  
0.00000e+00   1.00000e+00   3.90396e-04   3.16820e-01   8.00970e-01   1.92750e-01   4.36212e-04   8.89217e-04  
0.00000e+00   1.10000e+00   3.81641e-04   3.13100e-01   7.77490e-01   1.82910e-01   4.32820e-04   8.92353e-04  
0.00000e+00   1.20000e+00   3.72090e-04   3.10930e-01   7.53360e-01   1.73660e-01   4.28693e-04   8.92891e-04  
0.00000e+00   1.30000e+00   3.64131e-04   3.07830e-01   7.32698e-01   1.65398e-01   4.25398e-04   8.95349e-04  
0.00000e+00   1.40000e+00   3.54381e-04   3.03800e-01   7.09617e-01   1.57507e-01   4.20686e-04   8.92936e-04  
0.00000e+00   1.50000e+00   3.46422e-04   3.01010e-01   6.90107e-01   1.50397e-01   4.17011e-04   8.93276e-04  
0.00000e+00   1.60000e+00   3.39060e-04   2.97290e-01   6.72020e-01   1.43780e-01   4.13604e-04   8.94183e-04  
0.00000e+00   1.70000e+00   3.32891e-04   2.94190e-01   6.55956e-01   1.37326e-01   4.11022e-04   8.98309e-04  
0.00000e+00   1.80000e+00   3.25330e-04   2.92330e-01   6.38481e-01   1.31631e-01   4.07146e-04   8.96696e-04  
0.00000e+00   1.90000e+00   3.19958e-04   2.90160e-01   6.24973e-01   1.26493e-01   4.04727e-04   8.99621e-04  
0.00000e+00   2.00000e+00   3.15580e-04   2.89230e-01   6.13278e-01   1.21618e-01   4.02978e-04   9.04922e-04  
0.00000e+00   2.10000e+00   3.11998e-04   2.87990e-01   6.03198e-01   1.17118e-01   4.01719e-04   9.11677e-04  
0.00000e+00   2.20000e+00   3.06825e-04   2.84890e-01   5.91034e-01   1.13014e-01   3.99103e-04   9.12693e-04  
